5.7453 	EXP 	Created btn_disgust = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.06), italic=False, languageStyle='LTR', name='btn_disgust', opacity=1, ori=0.0, pos=array([ 0.  , -0.25]), rgb=UNKNOWN, text='Disgust', units='height', win=Window(...), wrapWidth=1)
5.7466 	EXP 	Created btn_fear = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.06), italic=False, languageStyle='LTR', name='btn_fear', opacity=1, ori=0.0, pos=array([ 0.4 , -0.25]), rgb=UNKNOWN, text='Fear', units='height', win=Window(...), wrapWidth=1)
5.7482 	EXP 	Created btn_happiness = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-5.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.06), italic=False, languageStyle='LTR', name='btn_happiness', opacity=1, ori=0.0, pos=array([-0.04, -0.45]), rgb=UNKNOWN, text='Happiness', units='height', win=Window(...), wrapWidth=1)
5.7496 	EXP 	Created btn_neutrality = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.06), italic=False, languageStyle='LTR', name='btn_neutrality', opacity=1, ori=0.0, pos=array([ 0.  , -0.45]), rgb=UNKNOWN, text='Neutrality', units='height', win=Window(...), wrapWidth=1)
5.7510 	EXP 	Created btn_sadness = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-7.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.06), italic=False, languageStyle='LTR', name='btn_sadness', opacity=1, ori=0.0, pos=array([ 0.4 , -0.45]), rgb=UNKNOWN, text='Sadness', units='height', win=Window(...), wrapWidth=1)
0.0179 	DEBUG 	Read excel file with openpyxl: conditions_faces.xlsx
0.0189 	EXP 	Imported conditions_faces.xlsx as conditions, 72 conditions, 2 params
0.0193 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'image_file': 'faces/168_m_f_a_b.jpg', 'correct_emotion': 'anger', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.1742 	EXP 	imageStim: image = 'faces/168_m_f_a_b.jpg'
0.1742 	EXP 	imageStim: autoDraw = True
