image_file,correct_emotion,thisN,thisTrialN,thisRepN,btn_anger.numClicks,btn_anger.timesOn,btn_anger.timesOff,btn_disgust.numClicks,btn_disgust.timesOn,btn_disgust.timesOff,btn_fear.numClicks,btn_fear.timesOn,btn_fear.timesOff,btn_happiness.numClicks,btn_happiness.timesOn,btn_happiness.timesOff,btn_neutrality.numClicks,btn_neutrality.timesOn,btn_neutrality.timesOff,btn_sadness.numClicks,btn_sadness.timesOn,btn_sadness.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,imageStim.started,btn_anger.started,btn_disgust.started,btn_fear.started,btn_happiness.started,btn_neutrality.started,btn_sadness.started,imageStim.stopped,trial.stopped,trials.btn_anger.numClicks,trials.btn_anger.timesOn,trials.btn_anger.timesOff,clickedEmotion,correct,trials.btn_disgust.numClicks,trials.btn_disgust.timesOn,trials.btn_disgust.timesOff,trials.btn_fear.numClicks,trials.btn_fear.timesOn,trials.btn_fear.timesOff,trials.btn_happiness.numClicks,trials.btn_happiness.timesOn,trials.btn_happiness.timesOff,trials.btn_neutrality.numClicks,trials.btn_neutrality.timesOn,trials.btn_neutrality.timesOff,trials.btn_sadness.numClicks,trials.btn_sadness.timesOn,trials.btn_sadness.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
faces/140_y_f_n_a.jpg,neutrality,0,0,0,0,,,0,,,0,,,0,,,1,[1.92701240000315],[1.9270160000014585],0,,,0,0,0,56,0.13089210001635365,,0.10717150001437403,0.13089210001635365,0.13089210001635365,0.13089210001635365,0.13089210001635365,0.13089210001635365,0.13089210001635365,0.13089210001635365,0.3898114000039641,2.058115200023167,0,,,neutrality,1,0,,,0,,,0,,,1,[1.92701240000315],[1.9270160000014585],0,,,pilot,001,2025-12-05_13h08.16.317,faces_experiment,,2025.1.1,145.85445184978946,2025-12-05 13h08.18.828513 +0100,
faces/140_y_f_a_b.jpg,anger,1,1,0,1,[1.6283278999908362],[1.6283310999860987],0,,,0,,,0,,,0,,,0,,,0,1,1,49,2.1784106000268366,,2.160415800026385,2.1784106000268366,2.1784106000268366,2.1784106000268366,2.1784106000268366,2.1784106000268366,2.1784106000268366,2.1784106000268366,2.42665940002189,3.807151500019245,1,[1.6283278999908362],[1.6283310999860987],anger,1,0,,,0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h08.16.317,faces_experiment,,2025.1.1,145.85445184978946,2025-12-05 13h08.18.828513 +0100,
faces/004_o_m_a_b.jpg,anger,2,2,0,0,,,0,,,0,,,0,,,0,,,1,[1.6644318999897223],[1.6644354999880306],0,2,2,1,3.900229600025341,,3.8853731999988668,3.900229600025341,3.900229600025341,3.900229600025341,3.900229600025341,3.900229600025341,3.900229600025341,3.900229600025341,4.151953100023093,5.564804000023287,0,,,sadness,0,0,,,0,,,0,,,0,,,1,[1.6644318999897223],[1.6644354999880306],pilot,001,2025-12-05_13h08.16.317,faces_experiment,,2025.1.1,145.85445184978946,2025-12-05 13h08.18.828513 +0100,
faces/116_m_m_h_b.jpg,happiness,3,3,0,0,,,0,,,0,,,1,[1.0746111999906134],[1.0746147999889217],0,,,0,,,0,3,3,43,5.656054899998708,,5.641949300013948,5.656054899998708,5.656054899998708,5.656054899998708,5.656054899998708,5.656054899998708,5.656054899998708,5.656054899998708,5.909801800007699,6.73089920001803,0,,,happiness,1,0,,,0,,,1,[1.0746111999906134],[1.0746147999889217],0,,,0,,,pilot,001,2025-12-05_13h08.16.317,faces_experiment,,2025.1.1,145.85445184978946,2025-12-05 13h08.18.828513 +0100,
faces/116_m_m_n_b.jpg,neutrality,4,4,0,0,,,0,,,0,,,0,,,1,[1.6719480000028852],[1.6719515000004321],0,,,0,4,4,45,6.816275300021516,,6.801826300012181,6.816275300021516,6.816275300021516,6.816275300021516,6.816275300021516,6.816275300021516,6.816275300021516,6.816275300021516,7.062539600010496,8.488424400013173,0,,,neutrality,1,0,,,0,,,0,,,1,[1.6719480000028852],[1.6719515000004321],0,,,pilot,001,2025-12-05_13h08.16.317,faces_experiment,,2025.1.1,145.85445184978946,2025-12-05 13h08.18.828513 +0100,
faces/066_y_m_n_b.jpg,neutrality,5,5,0,0,,,0,,,0,,,0,,,1,[2.6508534000022337],[2.6508566999982577],0,,,0,5,5,21,8.57371240001521,,8.56168240000261,8.57371240001521,8.57371240001521,8.57371240001521,8.57371240001521,8.57371240001521,8.57371240001521,8.57371240001521,8.819605000026058,11.224739400000544,0,,,neutrality,1,0,,,0,,,0,,,1,[2.6508534000022337],[2.6508566999982577],0,,,pilot,001,2025-12-05_13h08.16.317,faces_experiment,,2025.1.1,145.85445184978946,2025-12-05 13h08.18.828513 +0100,
faces/140_y_f_f_b.jpg,fear,6,6,0,0,,,0,,,1,[2.216666399996029],[2.2166715000057593],0,,,0,,,0,,,0,6,6,53,11.312949800019851,,11.302196300006472,11.312949800019851,11.312949800019851,11.312949800019851,11.312949800019851,11.312949800019851,11.312949800019851,11.312949800019851,11.569746799999848,13.529945700021926,0,,,fear,1,0,,,1,[2.216666399996029],[2.2166715000057593],0,,,0,,,0,,,pilot,001,2025-12-05_13h08.16.317,faces_experiment,,2025.1.1,145.85445184978946,2025-12-05 13h08.18.828513 +0100,
faces/079_o_f_s_a.jpg,sadness,7,7,0,0,,,1,[1.6143655000196304],[1.6143688000156544],0,,,0,,,0,,,0,,,0,7,7,34,13.623292100004619,,13.609200400009286,13.623292100004619,13.623292100004619,13.623292100004619,13.623292100004619,13.623292100004619,13.623292100004619,13.623292100004619,13.875176700006705,15.23798840001109,0,,,disgust,0,1,[1.6143655000196304],[1.6143688000156544],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h08.16.317,faces_experiment,,2025.1.1,145.85445184978946,2025-12-05 13h08.18.828513 +0100,
faces/066_y_m_f_b.jpg,fear,8,8,0,0,,,1,[0.06686890000128187],[0.0668718000233639],0,,,0,,,0,,,0,,,0,8,8,17,15.324288000003435,,15.310570900008315,15.324288000003435,15.324288000003435,15.324288000003435,15.324288000003435,15.324288000003435,15.324288000003435,15.324288000003435,,15.39150550001068,0,,,disgust,0,1,[0.06686890000128187],[0.0668718000233639],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h08.16.317,faces_experiment,,2025.1.1,145.85445184978946,2025-12-05 13h08.18.828513 +0100,
faces/168_m_f_d_b.jpg,disgust,9,9,0,0,,,1,[0.06919060001382604],[0.06919370000832714],0,,,0,,,0,,,0,,,0,9,9,63,15.474315700004809,,15.46423870002036,15.474315700004809,15.474315700004809,15.474315700004809,15.474315700004809,15.474315700004809,15.474315700004809,15.474315700004809,,15.543826000008266,0,,,disgust,1,1,[0.06919060001382604],[0.06919370000832714],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h08.16.317,faces_experiment,,2025.1.1,145.85445184978946,2025-12-05 13h08.18.828513 +0100,
