image_file,correct_emotion,thisN,thisTrialN,thisRepN,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,imageStim.started,mouseResp.started,btn_anger.started,btn_disgust.started,btn_fear.started,btn_happiness.started,btn_neutrality.started,btn_sadness.started,imageStim.stopped,trial.stopped,trials.mouseResp.x,trials.mouseResp.y,trials.mouseResp.leftButton,trials.mouseResp.midButton,trials.mouseResp.rightButton,trials.mouseResp.time,clickedEmotion,correct,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
faces/168_m_f_a_b.jpg,anger,0,0,0,[np.float64(0.38666666666666666)],[np.float64(-0.26166666666666666)],[1],[0],[0],[27.679515199997695],0,0,0,61,0.17420900000433903,,0.1398265000025276,0.17420900000433903,0.1398555000050692,0.17420900000433903,0.17420900000433903,0.17420900000433903,0.17420900000433903,0.17420900000433903,0.17420900000433903,1.1790297999978065,27.82272350000858,[np.float64(0.38666666666666666)],[np.float64(-0.26166666666666666)],[1],[0],[0],[27.679515199997695],fear,0,pilot,001,2025-12-04_16h18.04.833,faces_experiment,,2025.1.1,59.38489129598342,2025-12-04 16h18.08.062280 +0100,
faces/066_y_m_d_b.jpg,disgust,1,1,0,[],[],[],[],[],[],0,1,1,15,28.027141099999426,,27.908703699999023,28.027141099999426,0.08583910000743344,28.027141099999426,28.027141099999426,28.027141099999426,28.027141099999426,28.027141099999426,28.027141099999426,,27.90957640000852,[],[],[],[],[],[],fear,0,pilot,001,2025-12-04_16h18.04.833,faces_experiment,,2025.1.1,59.38489129598342,2025-12-04 16h18.08.062280 +0100,
faces/079_o_f_n_a.jpg,neutrality,2,2,0,"[np.float64(0.4166666666666667), np.float64(0.4166666666666667), np.float64(0.38666666666666666)]","[np.float64(-0.08833333333333333), np.float64(-0.08833333333333333), np.float64(-0.22833333333333333)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[11.451726600003894, 11.601899400004186, 11.91920210000535]",0,2,2,32,28.027141099999426,,27.99845590000041,28.027141099999426,0.08889680000720546,28.027141099999426,28.027141099999426,28.027141099999426,28.027141099999426,28.027141099999426,28.027141099999426,29.04188430000795,39.91809649999777,"[np.float64(0.4166666666666667), np.float64(0.4166666666666667), np.float64(0.38666666666666666)]","[np.float64(-0.08833333333333333), np.float64(-0.08833333333333333), np.float64(-0.22833333333333333)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[11.451726600003894, 11.601899400004186, 11.91920210000535]",fear,0,pilot,001,2025-12-04_16h18.04.833,faces_experiment,,2025.1.1,59.38489129598342,2025-12-04 16h18.08.062280 +0100,
faces/140_y_f_s_a.jpg,sadness,3,3,0,[],[],[],[],[],[],0,3,3,58,40.15428220000467,,40.02350789999764,40.15428220000467,0.10535100000561215,40.15428220000467,40.15428220000467,40.15428220000467,40.15428220000467,40.15428220000467,40.15428220000467,,40.024043500001426,[],[],[],[],[],[],fear,0,pilot,001,2025-12-04_16h18.04.833,faces_experiment,,2025.1.1,59.38489129598342,2025-12-04 16h18.08.062280 +0100,
faces/140_y_f_h_a.jpg,happiness,4,4,0,[np.float64(0.38333333333333336)],[np.float64(-0.24166666666666667)],[1],[0],[0],[0.025560900001437403],0,4,4,54,40.15428220000467,,40.130720300003304,40.15428220000467,0.10666350000246894,40.15428220000467,40.15428220000467,40.15428220000467,40.15428220000467,40.15428220000467,40.15428220000467,,40.156720200000564,[np.float64(0.38333333333333336)],[np.float64(-0.24166666666666667)],[1],[0],[0],[0.025560900001437403],fear,0,pilot,001,2025-12-04_16h18.04.833,faces_experiment,,2025.1.1,59.38489129598342,2025-12-04 16h18.08.062280 +0100,
faces/004_o_m_s_b.jpg,sadness,5,5,0,[np.float64(0.38333333333333336)],[np.float64(-0.24166666666666667)],[1],[0],[0],[0.04222000000299886],0,5,5,11,40.24448439999833,,40.235081000006176,40.24448439999833,0.07831650000298396,40.24448439999833,40.24448439999833,40.24448439999833,40.24448439999833,40.24448439999833,40.24448439999833,,40.277671700008796,[np.float64(0.38333333333333336)],[np.float64(-0.24166666666666667)],[1],[0],[0],[0.04222000000299886],fear,0,pilot,001,2025-12-04_16h18.04.833,faces_experiment,,2025.1.1,59.38489129598342,2025-12-04 16h18.08.062280 +0100,
faces/066_y_m_n_b.jpg,neutrality,6,6,0,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.07597289999830537],0,6,6,21,40.36114920000546,,40.35104239999782,40.36114920000546,0.07332850000238977,40.36114920000546,40.36114920000546,40.36114920000546,40.36114920000546,40.36114920000546,40.36114920000546,,40.42734680000285,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.07597289999830537],fear,0,pilot,001,2025-12-04_16h18.04.833,faces_experiment,,2025.1.1,59.38489129598342,2025-12-04 16h18.08.062280 +0100,
faces/168_m_f_h_b.jpg,happiness,7,7,0,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.07658920000540093],0,7,7,67,40.518327099998714,,40.50825470000564,40.518327099998714,0.08086760000151116,40.518327099998714,40.518327099998714,40.518327099998714,40.518327099998714,40.518327099998714,40.518327099998714,,40.585192900005495,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.07658920000540093],fear,0,pilot,001,2025-12-04_16h18.04.833,faces_experiment,,2025.1.1,59.38489129598342,2025-12-04 16h18.08.062280 +0100,
faces/066_y_m_f_b.jpg,fear,8,8,0,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.08023040000989567],0,8,8,17,40.67061040000408,,40.65745830000378,40.67061040000408,0.0722243000054732,40.67061040000408,40.67061040000408,40.67061040000408,40.67061040000408,40.67061040000408,40.67061040000408,,40.73802469999646,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.08023040000989567],fear,1,pilot,001,2025-12-04_16h18.04.833,faces_experiment,,2025.1.1,59.38489129598342,2025-12-04 16h18.08.062280 +0100,
faces/140_y_f_a_a.jpg,anger,9,9,0,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.05829699999594595],0,9,9,48,40.83536360001017,,40.82600820000516,40.83536360001017,0.0879339999955846,40.83536360001017,40.83536360001017,40.83536360001017,40.83536360001017,40.83536360001017,40.83536360001017,,40.884663600008935,[np.float64(0.38333333333333336)],[np.float64(-0.24333333333333335)],[1],[0],[0],[0.05829699999594595],fear,0,pilot,001,2025-12-04_16h18.04.833,faces_experiment,,2025.1.1,59.38489129598342,2025-12-04 16h18.08.062280 +0100,
