image_file,correct_emotion,thisN,thisTrialN,thisRepN,btn_anger.numClicks,btn_anger.timesOn,btn_anger.timesOff,btn_disgust.numClicks,btn_disgust.timesOn,btn_disgust.timesOff,btn_fear.numClicks,btn_fear.timesOn,btn_fear.timesOff,btn_happiness.numClicks,btn_happiness.timesOn,btn_happiness.timesOff,btn_neutrality.numClicks,btn_neutrality.timesOn,btn_neutrality.timesOff,btn_sadness.numClicks,btn_sadness.timesOn,btn_sadness.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,introduction_text.started,btn_start.started,introduction.stopped,btn_start.numClicks,btn_start.timesOn,btn_start.timesOff,trial.started,imageStim.started,btn_anger.started,btn_disgust.started,btn_fear.started,btn_happiness.started,btn_neutrality.started,btn_sadness.started,imageStim.stopped,trial.stopped,trials.btn_anger.numClicks,trials.btn_anger.timesOn,trials.btn_anger.timesOff,clickedEmotion,correct,trials.btn_disgust.numClicks,trials.btn_disgust.timesOn,trials.btn_disgust.timesOff,trials.btn_fear.numClicks,trials.btn_fear.timesOn,trials.btn_fear.timesOff,trials.btn_happiness.numClicks,trials.btn_happiness.timesOn,trials.btn_happiness.timesOff,trials.btn_neutrality.numClicks,trials.btn_neutrality.timesOn,trials.btn_neutrality.timesOff,trials.btn_sadness.numClicks,trials.btn_sadness.timesOn,trials.btn_sadness.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015642500016838312,0.024157200008630753,0.024157200008630753,6.239321700006258,1,[6.215024100005394],[6.215027600002941],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-12-05_14h31.29.102,faces_experiment,,2025.1.1,141.0333797763155,2025-12-05 14h31.31.589267 +0100,
faces/079_o_f_d_b.jpg,disgust,0,0,0,0,,,1,[0.8675101000117138],[0.8675138000107836],0,,,0,,,0,,,0,,,0,0,0,27,6.413739100011298,,,,,,,,,6.363404200004879,6.413739100011298,6.413739100011298,6.413739100011298,6.413739100011298,6.413739100011298,6.413739100011298,6.413739100011298,6.66951780000818,7.281638600019505,0,,,disgust,1,1,[0.8675101000117138],[0.8675138000107836],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_14h31.29.102,faces_experiment,,2025.1.1,141.0333797763155,2025-12-05 14h31.31.589267 +0100,
faces/079_o_f_f_a.jpg,fear,1,1,0,0,,,1,[0.0636501999979373],[0.06365339999319986],0,,,0,,,0,,,0,,,0,1,1,28,7.391788500011899,,,,,,,,,7.382232700008899,7.391788500011899,7.391788500011899,7.391788500011899,7.391788500011899,7.391788500011899,7.391788500011899,7.391788500011899,,7.455763600009959,0,,,disgust,0,1,[0.0636501999979373],[0.06365339999319986],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_14h31.29.102,faces_experiment,,2025.1.1,141.0333797763155,2025-12-05 14h31.31.589267 +0100,
faces/140_y_f_n_a.jpg,neutrality,2,2,0,0,,,1,[0.03917699999874458],[0.03917999999248423],0,,,0,,,0,,,0,,,0,2,2,56,7.561638999992283,,,,,,,,,7.54855450001196,7.561638999992283,7.561638999992283,7.561638999992283,7.561638999992283,7.561638999992283,7.561638999992283,7.561638999992283,,7.601218900003005,0,,,disgust,0,1,[0.03917699999874458],[0.03917999999248423],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_14h31.29.102,faces_experiment,,2025.1.1,141.0333797763155,2025-12-05 14h31.31.589267 +0100,
faces/079_o_f_h_a.jpg,happiness,3,3,0,0,,,1,[0.020735400001285598],[0.02073960000416264],0,,,0,,,0,,,0,,,0,3,3,30,7.705670600000303,,,,,,,,,7.694302799995057,7.705670600000303,7.705670600000303,7.705670600000303,7.705670600000303,7.705670600000303,7.705670600000303,7.705670600000303,,7.7267452999949455,0,,,disgust,0,1,[0.020735400001285598],[0.02073960000416264],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_14h31.29.102,faces_experiment,,2025.1.1,141.0333797763155,2025-12-05 14h31.31.589267 +0100,
faces/168_m_f_f_a.jpg,fear,4,4,0,0,,,1,[0.0014263000048231333],[0.0014290999970398843],0,,,0,,,0,,,0,,,0,4,4,64,7.86430700001074,,,,,,,,,7.852600200014422,7.86430700001074,7.86430700001074,7.86430700001074,7.86430700001074,7.86430700001074,7.86430700001074,7.86430700001074,,7.8662009999970905,0,,,disgust,0,1,[0.0014263000048231333],[0.0014290999970398843],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_14h31.29.102,faces_experiment,,2025.1.1,141.0333797763155,2025-12-05 14h31.31.589267 +0100,
faces/168_m_f_s_b.jpg,sadness,5,5,0,0,,,1,[0.049264200002653524],[0.049266899994108826],0,,,0,,,0,,,0,,,0,5,5,71,7.961323900002753,,,,,,,,,7.950685299991164,7.961323900002753,7.961323900002753,7.961323900002753,7.961323900002753,7.961323900002753,7.961323900002753,7.961323900002753,,8.011015399999451,0,,,disgust,0,1,[0.049264200002653524],[0.049266899994108826],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_14h31.29.102,faces_experiment,,2025.1.1,141.0333797763155,2025-12-05 14h31.31.589267 +0100,
faces/079_o_f_n_b.jpg,neutrality,6,6,0,0,,,1,[0.02325499997823499],[0.02325830000336282],0,,,0,,,0,,,0,,,0,6,6,33,8.113721700006863,,,,,,,,,8.10179290000815,8.113721700006863,8.113721700006863,8.113721700006863,8.113721700006863,8.113721700006863,8.113721700006863,8.113721700006863,,8.137379299994791,0,,,disgust,0,1,[0.02325499997823499],[0.02325830000336282],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_14h31.29.102,faces_experiment,,2025.1.1,141.0333797763155,2025-12-05 14h31.31.589267 +0100,
faces/079_o_f_s_b.jpg,sadness,7,7,0,0,,,1,[0.024357999995118007],[0.024361300020245835],0,,,0,,,0,,,0,,,0,7,7,35,8.25133279999136,,,,,,,,,8.238640399998985,8.25133279999136,8.25133279999136,8.25133279999136,8.25133279999136,8.25133279999136,8.25133279999136,8.25133279999136,,8.276042900019092,0,,,disgust,0,1,[0.024357999995118007],[0.024361300020245835],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_14h31.29.102,faces_experiment,,2025.1.1,141.0333797763155,2025-12-05 14h31.31.589267 +0100,
faces/140_y_f_h_a.jpg,happiness,8,8,0,0,,,1,[0.04609620000701398],[0.046099500003037974],0,,,0,,,0,,,0,,,0,8,8,54,8.38198609999381,,,,,,,,,8.371057400014251,8.38198609999381,8.38198609999381,8.38198609999381,8.38198609999381,8.38198609999381,8.38198609999381,8.38198609999381,,8.428456900001038,0,,,disgust,0,1,[0.04609620000701398],[0.046099500003037974],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_14h31.29.102,faces_experiment,,2025.1.1,141.0333797763155,2025-12-05 14h31.31.589267 +0100,
faces/116_m_m_h_a.jpg,happiness,9,9,0,0,,,1,[0.04022870000335388],[0.040232200000900775],0,,,0,,,0,,,0,,,0,9,9,42,8.519563100009691,,,,,,,,,8.507037700008368,8.519563100009691,8.519563100009691,8.519563100009691,8.519563100009691,8.519563100009691,8.519563100009691,8.519563100009691,,8.560150600009365,0,,,disgust,0,1,[0.04022870000335388],[0.040232200000900775],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_14h31.29.102,faces_experiment,,2025.1.1,141.0333797763155,2025-12-05 14h31.31.589267 +0100,
faces/004_o_m_n_a.jpg,neutrality,10,10,0,0,,,1,[0.020900300005450845],[0.020903500000713393],0,,,0,,,0,,,0,,,0,10,10,8,8.663452700013295,,,,,,,,,8.651168500015046,8.663452700013295,8.663452700013295,8.663452700013295,8.663452700013295,8.663452700013295,8.663452700013295,8.663452700013295,,8.684705899999244,0,,,disgust,0,1,[0.020900300005450845],[0.020903500000713393],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_14h31.29.102,faces_experiment,,2025.1.1,141.0333797763155,2025-12-05 14h31.31.589267 +0100,
faces/066_y_m_f_a.jpg,fear,11,11,0,0,,,1,[0.06285799999022856],[0.06286109998472966],0,,,0,,,0,,,0,,,0,11,11,16,8.77443590000621,,,,,,,,,8.763977099995827,8.77443590000621,8.77443590000621,8.77443590000621,8.77443590000621,8.77443590000621,8.77443590000621,8.77443590000621,,8.83765719999792,0,,,disgust,0,1,[0.06285799999022856],[0.06286109998472966],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_14h31.29.102,faces_experiment,,2025.1.1,141.0333797763155,2025-12-05 14h31.31.589267 +0100,
faces/140_y_f_d_a.jpg,disgust,12,12,0,0,,,1,[0.07542129998910241],[0.07542449998436496],0,,,0,,,0,,,0,,,0,12,12,50,8.94951599999331,,,,,,,,,8.937334000016563,8.94951599999331,8.94951599999331,8.94951599999331,8.94951599999331,8.94951599999331,8.94951599999331,8.94951599999331,,9.025294899998698,0,,,disgust,1,1,[0.07542129998910241],[0.07542449998436496],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_14h31.29.102,faces_experiment,,2025.1.1,141.0333797763155,2025-12-05 14h31.31.589267 +0100,
