image_file,correct_emotion,thisN,thisTrialN,thisRepN,btn_anger.numClicks,btn_anger.timesOn,btn_anger.timesOff,btn_disgust.numClicks,btn_disgust.timesOn,btn_disgust.timesOff,btn_fear.numClicks,btn_fear.timesOn,btn_fear.timesOff,btn_happiness.numClicks,btn_happiness.timesOn,btn_happiness.timesOff,btn_neutrality.numClicks,btn_neutrality.timesOn,btn_neutrality.timesOff,btn_sadness.numClicks,btn_sadness.timesOn,btn_sadness.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,introduction_text.started,btn_start.started,introduction.stopped,btn_start.numClicks,btn_start.timesOn,btn_start.timesOff,trial.started,imageStim.started,btn_anger.started,btn_disgust.started,btn_fear.started,btn_happiness.started,btn_neutrality.started,btn_sadness.started,imageStim.stopped,trial.stopped,trials.btn_anger.numClicks,trials.btn_anger.timesOn,trials.btn_anger.timesOff,clickedEmotion,correct,trials.btn_disgust.numClicks,trials.btn_disgust.timesOn,trials.btn_disgust.timesOff,trials.btn_fear.numClicks,trials.btn_fear.timesOn,trials.btn_fear.timesOff,trials.btn_happiness.numClicks,trials.btn_happiness.timesOn,trials.btn_happiness.timesOff,trials.btn_neutrality.numClicks,trials.btn_neutrality.timesOn,trials.btn_neutrality.timesOff,trials.btn_sadness.numClicks,trials.btn_sadness.timesOn,trials.btn_sadness.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006823300005635247,0.012701100000413135,0.012701100000413135,0.7349352000164799,1,[0.722082499996759],[0.7220858999935444],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130011,001,2025-12-05_16h03.42.698,faces_experiment,,2025.1.1,141.79007128808442,2025-12-05 16h03.45.537951 +0100,
faces/116_m_m_f_a.jpg,fear,0,0,0,0,,,1,[0.6222280999936629],[0.622231199988164],0,,,0,,,0,,,0,,,0,0,0,40,0.8474090000090655,,,,,,,,,0.8206558000238147,0.8474090000090655,0.8474090000090655,0.8474090000090655,0.8474090000090655,0.8474090000090655,0.8474090000090655,0.8474090000090655,1.0890259000007063,1.4699575999984518,0,,,disgust,0,1,[0.6222280999936629],[0.622231199988164],0,,,0,,,0,,,0,,,130011,001,2025-12-05_16h03.42.698,faces_experiment,,2025.1.1,141.79007128808442,2025-12-05 16h03.45.537951 +0100,
faces/168_m_f_s_b.jpg,sadness,1,1,0,0,,,1,[0.051218399981735274],[0.051222599984612316],0,,,0,,,0,,,0,,,0,1,1,71,1.5623778000008315,,,,,,,,,1.551756100001512,1.5623778000008315,1.5623778000008315,1.5623778000008315,1.5623778000008315,1.5623778000008315,1.5623778000008315,1.5623778000008315,,1.613922700023977,0,,,disgust,0,1,[0.051218399981735274],[0.051222599984612316],0,,,0,,,0,,,0,,,130011,001,2025-12-05_16h03.42.698,faces_experiment,,2025.1.1,141.79007128808442,2025-12-05 16h03.45.537951 +0100,
faces/004_o_m_n_a.jpg,neutrality,2,2,0,0,,,1,[0.04421279998496175],[0.04421959997853264],0,,,0,,,0,,,0,,,0,2,2,8,1.7028500000014901,,,,,,,,,1.693137599999318,1.7028500000014901,1.7028500000014901,1.7028500000014901,1.7028500000014901,1.7028500000014901,1.7028500000014901,1.7028500000014901,,1.7474542999989353,0,,,disgust,0,1,[0.04421279998496175],[0.04421959997853264],0,,,0,,,0,,,0,,,130011,001,2025-12-05_16h03.42.698,faces_experiment,,2025.1.1,141.79007128808442,2025-12-05 16h03.45.537951 +0100,
faces/079_o_f_f_b.jpg,fear,3,3,0,0,,,1,[0.02338140000938438],[0.023386100016068667],0,,,0,,,0,,,0,,,0,3,3,29,1.837220300018089,,,,,,,,,1.8296907000185456,1.837220300018089,1.837220300018089,1.837220300018089,1.837220300018089,1.837220300018089,1.837220300018089,1.837220300018089,,1.8609230000001844,0,,,disgust,0,1,[0.02338140000938438],[0.023386100016068667],0,,,0,,,0,,,0,,,130011,001,2025-12-05_16h03.42.698,faces_experiment,,2025.1.1,141.79007128808442,2025-12-05 16h03.45.537951 +0100,
faces/066_y_m_a_a.jpg,anger,4,4,0,0,,,1,[0.04645560000790283],[0.04645900000468828],0,,,0,,,0,,,0,,,0,4,4,12,1.9485185000230558,,,,,,,,,1.9387636000174098,1.9485185000230558,1.9485185000230558,1.9485185000230558,1.9485185000230558,1.9485185000230558,1.9485185000230558,1.9485185000230558,,1.9953070000046864,0,,,disgust,0,1,[0.04645560000790283],[0.04645900000468828],0,,,0,,,0,,,0,,,130011,001,2025-12-05_16h03.42.698,faces_experiment,,2025.1.1,141.79007128808442,2025-12-05 16h03.45.537951 +0100,
faces/168_m_f_h_a.jpg,happiness,5,5,0,0,,,1,[0.04705429999739863],[0.04705969998030923],0,,,0,,,0,,,0,,,0,5,5,66,2.0819729000213556,,,,,,,,,2.071041300019715,2.0819729000213556,2.0819729000213556,2.0819729000213556,2.0819729000213556,2.0819729000213556,2.0819729000213556,2.0819729000213556,,2.129757900023833,0,,,disgust,0,1,[0.04705429999739863],[0.04705969998030923],0,,,0,,,0,,,0,,,130011,001,2025-12-05_16h03.42.698,faces_experiment,,2025.1.1,141.79007128808442,2025-12-05 16h03.45.537951 +0100,
faces/116_m_m_s_a.jpg,sadness,6,6,0,0,,,1,[0.04228989998227917],[0.04229379998287186],0,,,0,,,0,,,0,,,0,6,6,46,2.2243520000192802,,,,,,,,,2.2128939000249375,2.2243520000192802,2.2243520000192802,2.2243520000192802,2.2243520000192802,2.2243520000192802,2.2243520000192802,2.2243520000192802,,2.2670064000121783,0,,,disgust,0,1,[0.04228989998227917],[0.04229379998287186],0,,,0,,,0,,,0,,,130011,001,2025-12-05_16h03.42.698,faces_experiment,,2025.1.1,141.79007128808442,2025-12-05 16h03.45.537951 +0100,
faces/004_o_m_f_a.jpg,fear,7,7,0,0,,,1,[0.04603789999964647],[0.046044499991694465],0,,,0,,,0,,,0,,,0,7,7,4,2.3512534000037704,,,,,,,,,2.3408582000120077,2.3512534000037704,2.3512534000037704,2.3512534000037704,2.3512534000037704,2.3512534000037704,2.3512534000037704,2.3512534000037704,,2.397840800025733,0,,,disgust,0,1,[0.04603789999964647],[0.046044499991694465],0,,,0,,,0,,,0,,,130011,001,2025-12-05_16h03.42.698,faces_experiment,,2025.1.1,141.79007128808442,2025-12-05 16h03.45.537951 +0100,
faces/140_y_f_f_b.jpg,fear,8,8,0,0,,,1,[0.04053480000584386],[0.04053840000415221],0,,,0,,,0,,,0,,,0,8,8,53,2.4943744000047445,,,,,,,,,2.484421100001782,2.4943744000047445,2.4943744000047445,2.4943744000047445,2.4943744000047445,2.4943744000047445,2.4943744000047445,2.4943744000047445,,2.5352391000196803,0,,,disgust,0,1,[0.04053480000584386],[0.04053840000415221],0,,,0,,,0,,,0,,,130011,001,2025-12-05_16h03.42.698,faces_experiment,,2025.1.1,141.79007128808442,2025-12-05 16h03.45.537951 +0100,
