image_file,correct_emotion,thisN,thisTrialN,thisRepN,btn_anger.numClicks,btn_anger.timesOn,btn_anger.timesOff,btn_disgust.numClicks,btn_disgust.timesOn,btn_disgust.timesOff,btn_fear.numClicks,btn_fear.timesOn,btn_fear.timesOff,btn_happiness.numClicks,btn_happiness.timesOn,btn_happiness.timesOff,btn_neutrality.numClicks,btn_neutrality.timesOn,btn_neutrality.timesOff,btn_sadness.numClicks,btn_sadness.timesOn,btn_sadness.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,imageStim.started,btn_anger.started,btn_disgust.started,btn_fear.started,btn_happiness.started,btn_neutrality.started,btn_sadness.started,imageStim.stopped,trial.stopped,trials.btn_anger.numClicks,trials.btn_anger.timesOn,trials.btn_anger.timesOff,clickedEmotion,correct,trials.btn_disgust.numClicks,trials.btn_disgust.timesOn,trials.btn_disgust.timesOff,trials.btn_fear.numClicks,trials.btn_fear.timesOn,trials.btn_fear.timesOff,trials.btn_happiness.numClicks,trials.btn_happiness.timesOn,trials.btn_happiness.timesOff,trials.btn_neutrality.numClicks,trials.btn_neutrality.timesOn,trials.btn_neutrality.timesOff,trials.btn_sadness.numClicks,trials.btn_sadness.timesOn,trials.btn_sadness.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
faces/079_o_f_n_a.jpg,neutrality,0,0,0,0,,,1,[8.422221499989973],[8.422224399982952],0,,,0,,,0,,,0,,,0,0,0,32,0.13728779999655671,,0.10833139999886043,0.13728779999655671,0.13728779999655671,0.13728779999655671,0.13728779999655671,0.13728779999655671,0.13728779999655671,0.13728779999655671,1.1345275999919977,8.559888399991905,0,,,disgust,0,1,[8.422221499989973],[8.422224399982952],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_12h56.32.975,faces_experiment,,2025.1.1,140.79807162541772,2025-12-05 12h56.36.557243 +0100,
faces/066_y_m_d_a.jpg,disgust,1,1,0,0,,,1,[0.039097200002288446],[0.039100199996028095],0,,,0,,,0,,,0,,,0,1,1,14,8.65221100000781,,8.640672999987146,8.65221100000781,8.65221100000781,8.65221100000781,8.65221100000781,8.65221100000781,8.65221100000781,8.65221100000781,,8.691623799997615,0,,,disgust,1,1,[0.039097200002288446],[0.039100199996028095],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_12h56.32.975,faces_experiment,,2025.1.1,140.79807162541772,2025-12-05 12h56.36.557243 +0100,
faces/004_o_m_f_b.jpg,fear,2,2,0,0,,,1,[0.054540100012673065],[0.054543200007174164],0,,,0,,,0,,,0,,,0,2,2,5,8.775681300001452,,8.766675099992426,8.775681300001452,8.775681300001452,8.775681300001452,8.775681300001452,8.775681300001452,8.775681300001452,8.775681300001452,,8.830534599983366,0,,,disgust,0,1,[0.054540100012673065],[0.054543200007174164],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_12h56.32.975,faces_experiment,,2025.1.1,140.79807162541772,2025-12-05 12h56.36.557243 +0100,
faces/116_m_m_a_b.jpg,anger,3,3,0,0,,,1,[0.05577180002001114],[0.05577470001298934],0,,,0,,,0,,,0,,,0,3,3,37,8.913628599984804,,8.905071099987254,8.913628599984804,8.913628599984804,8.913628599984804,8.913628599984804,8.913628599984804,8.913628599984804,8.913628599984804,,8.969737399980659,0,,,disgust,0,1,[0.05577180002001114],[0.05577470001298934],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_12h56.32.975,faces_experiment,,2025.1.1,140.79807162541772,2025-12-05 12h56.36.557243 +0100,
faces/168_m_f_h_b.jpg,happiness,4,4,0,0,,,1,[0.04992270001093857],[0.04992570000467822],0,,,0,,,0,,,0,,,0,4,4,67,9.052842300006887,,9.044490900007077,9.052842300006887,9.052842300006887,9.052842300006887,9.052842300006887,9.052842300006887,9.052842300006887,9.052842300006887,,9.103079299995443,0,,,disgust,0,1,[0.04992270001093857],[0.04992570000467822],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_12h56.32.975,faces_experiment,,2025.1.1,140.79807162541772,2025-12-05 12h56.36.557243 +0100,
faces/168_m_f_f_a.jpg,fear,5,5,0,0,,,1,[1.9423014000058174],[1.9423045000003185],0,,,0,,,0,,,0,,,0,5,5,64,9.187104099983117,,9.17824720000499,9.187104099983117,9.187104099983117,9.187104099983117,9.187104099983117,9.187104099983117,9.187104099983117,9.187104099983117,10.183549099980155,11.12975870000082,0,,,disgust,0,1,[1.9423014000058174],[1.9423045000003185],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_12h56.32.975,faces_experiment,,2025.1.1,140.79807162541772,2025-12-05 12h56.36.557243 +0100,
faces/116_m_m_s_b.jpg,sadness,6,6,0,0,,,0,,,1,[1.8055907000089064],[1.8055936000018846],0,,,0,,,0,,,0,6,6,47,11.21953279999434,,11.208515599981183,11.21953279999434,11.21953279999434,11.21953279999434,11.21953279999434,11.21953279999434,11.21953279999434,11.21953279999434,12.211107699986314,13.025406500004465,0,,,fear,0,0,,,1,[1.8055907000089064],[1.8055936000018846],0,,,0,,,0,,,pilot,001,2025-12-05_12h56.32.975,faces_experiment,,2025.1.1,140.79807162541772,2025-12-05 12h56.36.557243 +0100,
faces/116_m_m_a_a.jpg,anger,7,7,0,0,,,0,,,1,[0.07480609999038279],[0.07480879998183809],0,,,0,,,0,,,0,7,7,36,13.117544799984898,,13.101577099994756,13.117544799984898,13.117544799984898,13.117544799984898,13.117544799984898,13.117544799984898,13.117544799984898,13.117544799984898,,13.192640900000697,0,,,fear,0,0,,,1,[0.07480609999038279],[0.07480879998183809],0,,,0,,,0,,,pilot,001,2025-12-05_12h56.32.975,faces_experiment,,2025.1.1,140.79807162541772,2025-12-05 12h56.36.557243 +0100,
faces/066_y_m_a_a.jpg,anger,8,8,0,0,,,0,,,1,[0.05519839999033138],[0.05520149998483248],0,,,0,,,0,,,0,8,8,12,13.28263390000211,,13.267564099980518,13.28263390000211,13.28263390000211,13.28263390000211,13.28263390000211,13.28263390000211,13.28263390000211,13.28263390000211,,13.338101300003473,0,,,fear,0,0,,,1,[0.05519839999033138],[0.05520149998483248],0,,,0,,,0,,,pilot,001,2025-12-05_12h56.32.975,faces_experiment,,2025.1.1,140.79807162541772,2025-12-05 12h56.36.557243 +0100,
faces/116_m_m_n_b.jpg,neutrality,9,9,0,0,,,0,,,1,[0.17362720001256093],[0.17363350000232458],0,,,0,,,0,,,0,9,9,45,13.421446699998342,,13.412901699979557,13.421446699998342,13.421446699998342,13.421446699998342,13.421446699998342,13.421446699998342,13.421446699998342,13.421446699998342,,13.59540309998556,0,,,fear,0,0,,,1,[0.17362720001256093],[0.17363350000232458],0,,,0,,,0,,,pilot,001,2025-12-05_12h56.32.975,faces_experiment,,2025.1.1,140.79807162541772,2025-12-05 12h56.36.557243 +0100,
