image_file,correct_emotion,thisN,thisTrialN,thisRepN,btn_anger.numClicks,btn_anger.timesOn,btn_anger.timesOff,btn_disgust.numClicks,btn_disgust.timesOn,btn_disgust.timesOff,btn_fear.numClicks,btn_fear.timesOn,btn_fear.timesOff,btn_happiness.numClicks,btn_happiness.timesOn,btn_happiness.timesOff,btn_neutrality.numClicks,btn_neutrality.timesOn,btn_neutrality.timesOff,btn_sadness.numClicks,btn_sadness.timesOn,btn_sadness.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,introduction_text.started,btn_start.started,introduction.stopped,btn_start.numClicks,btn_start.timesOn,btn_start.timesOff,trial.started,imageStim.started,btn_anger.started,btn_disgust.started,btn_fear.started,btn_happiness.started,btn_neutrality.started,btn_sadness.started,imageStim.stopped,trial.stopped,trials.btn_anger.numClicks,trials.btn_anger.timesOn,trials.btn_anger.timesOff,clickedEmotion,correct,trials.btn_disgust.numClicks,trials.btn_disgust.timesOn,trials.btn_disgust.timesOff,trials.btn_fear.numClicks,trials.btn_fear.timesOn,trials.btn_fear.timesOff,trials.btn_happiness.numClicks,trials.btn_happiness.timesOn,trials.btn_happiness.timesOff,trials.btn_neutrality.numClicks,trials.btn_neutrality.timesOn,trials.btn_neutrality.timesOff,trials.btn_sadness.numClicks,trials.btn_sadness.timesOn,trials.btn_sadness.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007729899982223287,0.012327300006290898,0.012327300006290898,0.9286504999909084,1,[0.9161780000140425],[0.916182300017681],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108659,001,2025-12-05_16h36.07.377,faces_experiment,,2025.1.1,134.61305478162603,2025-12-05 16h36.10.368942 +0100,
faces/004_o_m_a_b.jpg,anger,0,0,0,0,,,1,[0.8219695999869145],[0.8219729999837],0,,,0,,,0,,,0,,,0,0,0,1,1.0602277999860235,,,,,,,,,1.022539500001585,1.0602277999860235,1.0602277999860235,1.0602277999860235,1.0602277999860235,1.0602277999860235,1.0602277999860235,1.0602277999860235,1.3035019999952056,1.8825218999991193,0,,,disgust,0,1,[0.8219695999869145],[0.8219729999837],0,,,0,,,0,,,0,,,108659,001,2025-12-05_16h36.07.377,faces_experiment,,2025.1.1,134.61305478162603,2025-12-05 16h36.10.368942 +0100,
faces/168_m_f_n_a.jpg,neutrality,1,1,0,0,,,0,,,1,[0.9251309000246692],[0.9251345000229776],0,,,0,,,0,,,0,1,1,68,2.005115499981912,,,,,,,,,1.9891737999860197,2.005115499981912,2.005115499981912,2.005115499981912,2.005115499981912,2.005115499981912,2.005115499981912,2.005115499981912,2.253406300005736,2.930578700004844,0,,,fear,0,0,,,1,[0.9251309000246692],[0.9251345000229776],0,,,0,,,0,,,108659,001,2025-12-05_16h36.07.377,faces_experiment,,2025.1.1,134.61305478162603,2025-12-05 16h36.10.368942 +0100,
faces/004_o_m_d_b.jpg,disgust,2,2,0,0,,,0,,,0,,,0,,,0,,,1,[0.8976151999959257],[0.8976182999904267],0,2,2,3,3.0192487000022084,,,,,,,,,3.0072402000078,3.0192487000022084,3.0192487000022084,3.0192487000022084,3.0192487000022084,3.0192487000022084,3.0192487000022084,3.0192487000022084,3.269352900009835,3.9169839000096545,0,,,sadness,0,0,,,0,,,0,,,0,,,1,[0.8976151999959257],[0.8976182999904267],108659,001,2025-12-05_16h36.07.377,faces_experiment,,2025.1.1,134.61305478162603,2025-12-05 16h36.10.368942 +0100,
faces/116_m_m_d_b.jpg,disgust,3,3,0,1,[0.7247519000084139],[0.7247589000035077],0,,,0,,,0,,,0,,,0,,,0,3,3,39,4.008493000001181,,,,,,,,,3.997578699985752,4.008493000001181,4.008493000001181,4.008493000001181,4.008493000001181,4.008493000001181,4.008493000001181,4.008493000001181,4.247342899994692,4.733768500009319,1,[0.7247519000084139],[0.7247589000035077],anger,0,0,,,0,,,0,,,0,,,0,,,108659,001,2025-12-05_16h36.07.377,faces_experiment,,2025.1.1,134.61305478162603,2025-12-05 16h36.10.368942 +0100,
faces/079_o_f_h_a.jpg,happiness,4,4,0,0,,,0,,,0,,,1,[0.8549921000085305],[0.8549957000068389],0,,,0,,,0,4,4,30,4.828829899983248,,,,,,,,,4.818709399987711,4.828829899983248,4.828829899983248,4.828829899983248,4.828829899983248,4.828829899983248,4.828829899983248,4.828829899983248,5.071192600007635,5.684057400008896,0,,,happiness,1,0,,,0,,,1,[0.8549921000085305],[0.8549957000068389],0,,,0,,,108659,001,2025-12-05_16h36.07.377,faces_experiment,,2025.1.1,134.61305478162603,2025-12-05 16h36.10.368942 +0100,
faces/116_m_m_s_a.jpg,sadness,5,5,0,0,,,0,,,0,,,0,,,1,[0.8408904999960214],[0.8408965000126045],0,,,0,5,5,46,5.771739799994975,,,,,,,,,5.7599368999945,5.771739799994975,5.771739799994975,5.771739799994975,5.771739799994975,5.771739799994975,5.771739799994975,5.771739799994975,6.014742600003956,6.61281869999948,0,,,neutrality,0,0,,,0,,,0,,,1,[0.8408904999960214],[0.8408965000126045],0,,,108659,001,2025-12-05_16h36.07.377,faces_experiment,,2025.1.1,134.61305478162603,2025-12-05 16h36.10.368942 +0100,
faces/168_m_f_s_b.jpg,sadness,6,6,0,0,,,1,[0.7594893000205047],[0.7594961000140756],0,,,0,,,0,,,0,,,0,6,6,71,6.702664399985224,,,,,,,,,6.691723900003126,6.702664399985224,6.702664399985224,6.702664399985224,6.702664399985224,6.702664399985224,6.702664399985224,6.702664399985224,6.9499254999973346,7.46254089998547,0,,,disgust,0,1,[0.7594893000205047],[0.7594961000140756],0,,,0,,,0,,,0,,,108659,001,2025-12-05_16h36.07.377,faces_experiment,,2025.1.1,134.61305478162603,2025-12-05 16h36.10.368942 +0100,
faces/066_y_m_d_b.jpg,disgust,7,7,0,0,,,1,[0.18311019998509437],[0.1831133000086993],0,,,0,,,0,,,0,,,0,7,7,15,7.549727000005078,,,,,,,,,7.538395199982915,7.549727000005078,7.549727000005078,7.549727000005078,7.549727000005078,7.549727000005078,7.549727000005078,7.549727000005078,,7.7331647999817505,0,,,disgust,1,1,[0.18311019998509437],[0.1831133000086993],0,,,0,,,0,,,0,,,108659,001,2025-12-05_16h36.07.377,faces_experiment,,2025.1.1,134.61305478162603,2025-12-05 16h36.10.368942 +0100,
faces/140_y_f_a_a.jpg,anger,8,8,0,0,,,1,[0.05622810000204481],[0.05623129999730736],0,,,0,,,0,,,0,,,0,8,8,48,7.824477099988144,,,,,,,,,7.813339299988002,7.824477099988144,7.824477099988144,7.824477099988144,7.824477099988144,7.824477099988144,7.824477099988144,7.824477099988144,,7.881144999992102,0,,,disgust,0,1,[0.05622810000204481],[0.05623129999730736],0,,,0,,,0,,,0,,,108659,001,2025-12-05_16h36.07.377,faces_experiment,,2025.1.1,134.61305478162603,2025-12-05 16h36.10.368942 +0100,
