image_file,correct_emotion,thisN,thisTrialN,thisRepN,btn_anger_2.numClicks,btn_anger_2.timesOn,btn_anger_2.timesOff,btn_disgust_2.numClicks,btn_disgust_2.timesOn,btn_disgust_2.timesOff,btn_fear_2.numClicks,btn_fear_2.timesOn,btn_fear_2.timesOff,btn_happiness_2.numClicks,btn_happiness_2.timesOn,btn_happiness_2.timesOff,btn_neutrality_2.numClicks,btn_neutrality_2.timesOn,btn_neutrality_2.timesOff,btn_sadness_2.numClicks,btn_sadness_2.timesOn,btn_sadness_2.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,introduction_text.started,btn_start.started,introduction.stopped,btn_start.numClicks,btn_start.timesOn,btn_start.timesOff,trial_face.started,image_stim.started,trial_face.stopped,trial_response.started,btn_anger_2.started,btn_disgust_2.started,btn_fear_2.started,btn_happiness_2.started,btn_neutrality_2.started,btn_sadness_2.started,trial_response.stopped,trials.btn_anger_2.numClicks,trials.btn_anger_2.timesOn,trials.btn_anger_2.timesOff,trials.btn_disgust_2.numClicks,trials.btn_disgust_2.timesOn,trials.btn_disgust_2.timesOff,trials.btn_fear_2.numClicks,trials.btn_fear_2.timesOn,trials.btn_fear_2.timesOff,trials.btn_happiness_2.numClicks,trials.btn_happiness_2.timesOn,trials.btn_happiness_2.timesOff,clickedEmotion,correct,trials.btn_neutrality_2.numClicks,trials.btn_neutrality_2.timesOn,trials.btn_neutrality_2.timesOff,trials.btn_sadness_2.numClicks,trials.btn_sadness_2.timesOn,trials.btn_sadness_2.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011180900008184835,0.018570500003988855,0.018570500003988855,0.9510391999938292,1,[0.9321737999998732],[0.9321824999933597],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
faces/116_m_m_f_b.jpg,fear,0,0,0,0,,,0,,,1,[1.7425730999966618],[1.7425775000010617],0,,,0,,,0,,,0,0,0,41,1.168942500007688,,,,,,,,,1.1131937000027392,1.168942500007688,1.212634600000456,1.214118799995049,1.2448034999979427,1.2448034999979427,1.2448034999979427,1.2448034999979427,1.2448034999979427,1.2448034999979427,2.9880600000033155,0,,,0,,,1,[1.7425730999966618],[1.7425775000010617],0,,,fear,1,0,,,0,,,490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
faces/116_m_m_f_a.jpg,fear,1,1,0,0,,,0,,,1,[0.4192025999946054],[0.4192138999933377],0,,,0,,,0,,,0,1,1,40,3.099686500005191,,,,,,,,,3.090052300001844,3.099686500005191,3.250545400005649,3.25093840000045,3.2655536999955075,3.2655536999955075,3.2655536999955075,3.2655536999955075,3.2655536999955075,3.2655536999955075,3.68552389999968,0,,,0,,,1,[0.4192025999946054],[0.4192138999933377],0,,,fear,1,0,,,0,,,490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
faces/004_o_m_d_a.jpg,disgust,2,2,0,0,,,0,,,1,[0.36945209999976214],[0.3694587999925716],0,,,0,,,0,,,0,2,2,2,3.832467300002463,,,,,,,,,3.8244344999984605,3.832467300002463,3.9437465999944834,3.944103300003917,3.964163800003007,3.964163800003007,3.964163800003007,3.964163800003007,3.964163800003007,3.964163800003007,4.334021500006202,0,,,0,,,1,[0.36945209999976214],[0.3694587999925716],0,,,fear,0,0,,,0,,,490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
faces/079_o_f_n_b.jpg,neutrality,3,3,0,0,,,0,,,1,[0.27919329999713227],[0.2792040999920573],0,,,0,,,0,,,0,3,3,33,4.500188499994692,,,,,,,,,4.490702199997031,4.500188499994692,4.59679640000104,4.597119700003532,4.616986699998961,4.616986699998961,4.616986699998961,4.616986699998961,4.616986699998961,4.616986699998961,4.896565000002738,0,,,0,,,1,[0.27919329999713227],[0.2792040999920573],0,,,fear,0,0,,,0,,,490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
faces/140_y_f_h_a.jpg,happiness,4,4,0,0,,,0,,,1,[0.23817459998826962],[0.2381905999936862],0,,,0,,,0,,,0,4,4,54,5.034811999998055,,,,,,,,,5.026391100007459,5.034811999998055,5.166770399999223,5.167216999994707,5.180243199996767,5.180243199996767,5.180243199996767,5.180243199996767,5.180243199996767,5.180243199996767,5.419094099997892,0,,,0,,,1,[0.23817459998826962],[0.2381905999936862],0,,,fear,0,0,,,0,,,490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
faces/079_o_f_h_b.jpg,happiness,5,5,0,0,,,0,,,1,[0.264632199992775],[0.2646373999887146],0,,,0,,,0,,,0,5,5,31,5.536570900003426,,,,,,,,,5.52726370000164,5.536570900003426,5.6815165000007255,5.681862099998398,5.70193830000062,5.70193830000062,5.70193830000062,5.70193830000062,5.70193830000062,5.70193830000062,5.966968799999449,0,,,0,,,1,[0.264632199992775],[0.2646373999887146],0,,,fear,0,0,,,0,,,490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
faces/079_o_f_a_a.jpg,anger,6,6,0,0,,,0,,,1,[0.23001650000514928],[0.23002509999787435],0,,,0,,,0,,,0,6,6,24,6.086702500004321,,,,,,,,,6.079102400006377,6.086702500004321,6.229596000004676,6.229789200006053,6.2503991999983555,6.2503991999983555,6.2503991999983555,6.2503991999983555,6.2503991999983555,6.2503991999983555,6.480918700006441,0,,,0,,,1,[0.23001650000514928],[0.23002509999787435],0,,,fear,0,0,,,0,,,490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
faces/004_o_m_n_a.jpg,neutrality,7,7,0,0,,,0,,,1,[0.29529560000810307],[0.29530130000784993],0,,,0,,,0,,,0,7,7,8,6.60313980000501,,,,,,,,,6.595875900005922,6.60313980000501,6.737653000003775,6.738192599994363,6.75336079999397,6.75336079999397,6.75336079999397,6.75336079999397,6.75336079999397,6.75336079999397,7.04916310000408,0,,,0,,,1,[0.29529560000810307],[0.29530130000784993],0,,,fear,0,0,,,0,,,490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
faces/116_m_m_h_b.jpg,happiness,8,8,0,0,,,0,,,1,[0.1548707000038121],[0.15487739999662153],0,,,0,,,0,,,0,8,8,43,7.149037099996349,,,,,,,,,7.141025300006731,7.149037099996349,7.313981100000092,7.314280999999028,7.326748999999836,7.326748999999836,7.326748999999836,7.326748999999836,7.326748999999836,7.326748999999836,7.481920599995647,0,,,0,,,1,[0.1548707000038121],[0.15487739999662153],0,,,fear,0,0,,,0,,,490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
faces/066_y_m_n_b.jpg,neutrality,9,9,0,0,,,0,,,1,[0.10849979998602066],[0.10850369998661336],0,,,0,,,0,,,0,9,9,21,7.59758509999665,,,,,,,,,7.589604900000268,7.59758509999665,7.744417299996712,7.7446796000003815,7.7579379999951925,7.7579379999951925,7.7579379999951925,7.7579379999951925,7.7579379999951925,7.7579379999951925,7.866847099998267,0,,,0,,,1,[0.10849979998602066],[0.10850369998661336],0,,,fear,0,0,,,0,,,490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
faces/004_o_m_f_b.jpg,fear,10,10,0,0,,,0,,,1,[0.11967850000655744],[0.11968990000605118],0,,,0,,,0,,,0,10,10,5,7.976878400004352,,,,,,,,,7.969528000001446,7.976878400004352,8.127151699998649,8.127456200003508,8.141035299995565,8.141035299995565,8.141035299995565,8.141035299995565,8.141035299995565,8.141035299995565,8.261213300007512,0,,,0,,,1,[0.11967850000655744],[0.11968990000605118],0,,,fear,1,0,,,0,,,490889,001,2025-12-06_16h52.10.209,faces_experiment,,2025.1.1,132.7636886209827,2025-12-06 16h52.12.966266 +0100,
