image_file,correct_emotion,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,introduction_text.started,btn_start.started,introduction.stopped,btn_start.numClicks,btn_start.timesOn,btn_start.timesOff,trial_face.started,trial_face.stopped,trial_response.started,btn_anger_2.started,btn_disgust_2.started,btn_fear_2.started,btn_happiness_2.started,btn_neutrality_2.started,btn_sadness_2.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.007425899995723739,0.016990799995255657,0.016990799995255657,1.6586213999980828,1,[1.641226399995503],[1.6412383999995654],,,,,,,,,,549730,001,2025-12-06_19h33.46.737,faces_experiment,,2025.1.1,None,2025-12-06 19h33.51.870157 +0100,
faces/066_y_m_s_a.jpg,sadness,0,0,0,0,0,0,22,1.9696925999887753,,,,,,,,,1.9106038000027183,1.910692299992661,1.9137669999909122,1.9696925999887753,1.9696925999887753,1.9696925999887753,1.9696925999887753,1.9696925999887753,1.9696925999887753,,,,,,,,,
