image_file,correct_emotion,thisN,thisTrialN,thisRepN,btn_anger_2.numClicks,btn_anger_2.timesOn,btn_anger_2.timesOff,btn_disgust_2.numClicks,btn_disgust_2.timesOn,btn_disgust_2.timesOff,btn_fear_2.numClicks,btn_fear_2.timesOn,btn_fear_2.timesOff,btn_happiness_2.numClicks,btn_happiness_2.timesOn,btn_happiness_2.timesOff,btn_neutrality_2.numClicks,btn_neutrality_2.timesOn,btn_neutrality_2.timesOff,btn_sadness_2.numClicks,btn_sadness_2.timesOn,btn_sadness_2.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,introduction_text.started,btn_start.started,introduction.stopped,btn_start.numClicks,btn_start.timesOn,btn_start.timesOff,trial_face.started,image_stim.started,trial_face.stopped,trial_response.started,btn_anger_2.started,btn_disgust_2.started,btn_fear_2.started,btn_happiness_2.started,btn_neutrality_2.started,btn_sadness_2.started,trial_response.stopped,trials.btn_anger_2.numClicks,trials.btn_anger_2.timesOn,trials.btn_anger_2.timesOff,trials.btn_disgust_2.numClicks,trials.btn_disgust_2.timesOn,trials.btn_disgust_2.timesOff,trials.btn_fear_2.numClicks,trials.btn_fear_2.timesOn,trials.btn_fear_2.timesOff,trials.btn_happiness_2.numClicks,trials.btn_happiness_2.timesOn,trials.btn_happiness_2.timesOff,trials.btn_neutrality_2.numClicks,trials.btn_neutrality_2.timesOn,trials.btn_neutrality_2.timesOff,trials.btn_sadness_2.numClicks,trials.btn_sadness_2.timesOn,trials.btn_sadness_2.timesOff,clickedEmotion,correct,end_screen.started,text.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
faces/168_m_f_h_b.jpg,happiness,9,9,0,0,,,1,[0.07015169999795035],[0.07016810000641271],0,,,0,,,0,,,0,,,0,9,9,67,4.632817299992894,,,,,,,,,4.6202473000012105,4.632817299992894,4.749038599999039,4.7493639000022085,4.763959100004286,4.763959100004286,4.763959100004286,4.763959100004286,4.763959100004286,4.763959100004286,4.835010099995998,0,,,1,[0.07015169999795035],[0.07016810000641271],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/140_y_f_s_b.jpg,sadness,10,10,0,0,,,1,[0.04008069999690633],[0.040089400004944764],0,,,0,,,0,,,0,,,0,10,10,59,4.999510599998757,,,,,,,,,4.988738500003819,4.999510599998757,5.096321299992269,5.096625100006349,5.110631799994735,5.110631799994735,5.110631799994735,5.110631799994735,5.110631799994735,5.110631799994735,5.15150320000248,0,,,1,[0.04008069999690633],[0.040089400004944764],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/066_y_m_s_b.jpg,sadness,11,11,0,0,,,1,[0.0006653000018559396],[0.0006721000099787489],0,,,0,,,0,,,0,,,0,11,11,23,5.3111879999923985,,,,,,,,,5.298667900002329,5.3111879999923985,5.409667500003707,5.409947699998156,5.424945000006119,5.424945000006119,5.424945000006119,5.424945000006119,5.424945000006119,5.424945000006119,5.426215800005593,0,,,1,[0.0006653000018559396],[0.0006721000099787489],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/140_y_f_a_b.jpg,anger,12,12,0,0,,,1,[0.10839120000309777],[0.10839690000284463],0,,,0,,,0,,,0,,,0,12,12,49,5.5961900999973295,,,,,,,,,5.5849596000043675,5.5961900999973295,5.69409689999884,5.695154700006242,5.7075757999991765,5.7075757999991765,5.7075757999991765,5.7075757999991765,5.7075757999991765,5.7075757999991765,5.816483200003859,0,,,1,[0.10839120000309777],[0.10839690000284463],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/079_o_f_n_b.jpg,neutral,13,13,0,0,,,1,[0.08489669999107718],[0.08490259999234695],0,,,0,,,0,,,0,,,0,13,13,33,5.923368499992648,,,,,,,,,5.91447839999455,5.923368499992648,6.069310699997004,6.06988339999225,6.08997570000065,6.08997570000065,6.08997570000065,6.08997570000065,6.08997570000065,6.08997570000065,6.175698099992587,0,,,1,[0.08489669999107718],[0.08490259999234695],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/066_y_m_n_b.jpg,neutral,14,14,0,0,,,1,[0.06241829998907633],[0.0624239999888232],0,,,0,,,0,,,0,,,0,14,14,21,6.277257299996563,,,,,,,,,6.268212199996924,6.277257299996563,6.437878400000045,6.438277399996878,6.458301099992241,6.458301099992241,6.458301099992241,6.458301099992241,6.458301099992241,6.458301099992241,6.521213500003796,0,,,1,[0.06241829998907633],[0.0624239999888232],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/079_o_f_s_b.jpg,sadness,15,15,0,0,,,1,[0.2500941999896895],[0.25010540000221226],0,,,0,,,0,,,0,,,0,15,15,35,6.639363599999342,,,,,,,,,6.630276500000036,6.639363599999342,6.785246800005552,6.786197900000843,6.805564900001627,6.805564900001627,6.805564900001627,6.805564900001627,6.805564900001627,6.805564900001627,7.056381400005193,0,,,1,[0.2500941999896895],[0.25010540000221226],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/066_y_m_d_b.jpg,disgust,16,16,0,0,,,1,[0.03493029999663122],[0.03493470000103116],0,,,0,,,0,,,0,,,0,16,16,15,7.16640550000011,,,,,,,,,7.157101999997394,7.16640550000011,7.313201700002537,7.313539800001308,7.325972299993737,7.325972299993737,7.325972299993737,7.325972299993737,7.325972299993737,7.325972299993737,7.361401600006502,0,,,1,[0.03493029999663122],[0.03493470000103116],0,,,0,,,0,,,0,,,disgust,1,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/079_o_f_h_a.jpg,happiness,17,17,0,0,,,1,[0.03606549999676645],[0.036071099995751865],0,,,0,,,0,,,0,,,0,17,17,30,7.467370300000766,,,,,,,,,7.458407099999022,7.467370300000766,7.612457099996391,7.612755099995411,7.633422099999734,7.633422099999734,7.633422099999734,7.633422099999734,7.633422099999734,7.633422099999734,7.670070799998939,0,,,1,[0.03606549999676645],[0.036071099995751865],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/004_o_m_n_b.jpg,neutral,18,18,0,0,,,1,[0.052421400003368035],[0.05242789999465458],0,,,0,,,0,,,0,,,0,18,18,9,7.813743299993803,,,,,,,,,7.805274300000747,7.813743299993803,7.924734500003979,7.92585020000115,7.945501099995454,7.945501099995454,7.945501099995454,7.945501099995454,7.945501099995454,7.945501099995454,7.998371900001075,0,,,1,[0.052421400003368035],[0.05242789999465458],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/168_m_f_s_b.jpg,sadness,19,19,0,0,,,1,[0.036019300008774735],[0.03602510000928305],0,,,0,,,0,,,0,,,0,19,19,71,8.101381899992703,,,,,,,,,8.091816600004677,8.101381899992703,8.25158549999469,8.252138199997717,8.265249300005962,8.265249300005962,8.265249300005962,8.265249300005962,8.265249300005962,8.265249300005962,8.301744500000495,0,,,1,[0.036019300008774735],[0.03602510000928305],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/066_y_m_n_a.jpg,neutral,20,20,0,0,,,1,[0.0502243999944767],[0.05023280000023078],0,,,0,,,0,,,0,,,0,20,20,20,8.416413900005864,,,,,,,,,8.406754199997522,8.416413900005864,8.564544199994998,8.565182999998797,8.577400399997714,8.577400399997714,8.577400399997714,8.577400399997714,8.577400399997714,8.577400399997714,8.628252800001064,0,,,1,[0.0502243999944767],[0.05023280000023078],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/116_m_m_f_b.jpg,fear,21,21,0,0,,,1,[0.056125999995856546],[0.05613749999611173],0,,,0,,,0,,,0,,,0,21,21,41,8.753201400002581,,,,,,,,,8.744238600003882,8.753201400002581,8.884634500005632,8.885331299999962,8.900382099993294,8.900382099993294,8.900382099993294,8.900382099993294,8.900382099993294,8.900382099993294,8.957207500003278,0,,,1,[0.056125999995856546],[0.05613749999611173],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/066_y_m_d_a.jpg,disgust,22,22,0,0,,,1,[0.054197799996472895],[0.05420479999156669],0,,,0,,,0,,,0,,,0,22,22,14,9.121486399992136,,,,,,,,,9.108194600004936,9.121486399992136,9.21669689999544,9.21722160000354,9.232918699999573,9.232918699999573,9.232918699999573,9.232918699999573,9.232918699999573,9.232918699999573,9.2877157000039,0,,,1,[0.054197799996472895],[0.05420479999156669],0,,,0,,,0,,,0,,,disgust,1,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/168_m_f_f_b.jpg,fear,23,23,0,0,,,1,[0.0427685000031488],[0.04277660000661854],0,,,0,,,0,,,0,,,0,23,23,65,9.44546889999765,,,,,,,,,9.43155619999743,9.44546889999765,9.545853400006308,9.546382400003495,9.565397600003053,9.565397600003053,9.565397600003053,9.565397600003053,9.565397600003053,9.565397600003053,9.609088500001235,0,,,1,[0.0427685000031488],[0.04277660000661854],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/079_o_f_h_b.jpg,happiness,24,24,0,0,,,1,[0.03243049999582581],[0.032439699993119575],0,,,0,,,0,,,0,,,0,24,24,31,9.863389399994048,,,,,,,,,9.848985300006461,9.863389399994048,9.863608400002704,9.864162400001078,9.881320700005745,9.881320700005745,9.881320700005745,9.881320700005745,9.881320700005745,9.881320700005745,9.914619400005904,0,,,1,[0.03243049999582581],[0.032439699993119575],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/066_y_m_s_a.jpg,sadness,25,25,0,0,,,1,[0.047049700006027706],[0.04705910000484437],0,,,0,,,0,,,0,,,0,25,25,22,10.042127399996389,,,,,,,,,10.032235499995295,10.042127399996389,10.1769612999924,10.17881949999719,10.194690899996203,10.194690899996203,10.194690899996203,10.194690899996203,10.194690899996203,10.194690899996203,10.242460699999356,0,,,1,[0.047049700006027706],[0.04705910000484437],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/116_m_m_n_a.jpg,neutral,26,26,0,0,,,1,[0.13111430000572],[0.1311202999931993],0,,,0,,,0,,,0,,,0,26,26,44,10.368755300005432,,,,,,,,,10.359671400001389,10.368755300005432,10.502195799999754,10.503240199992433,10.517361299993354,10.517361299993354,10.517361299993354,10.517361299993354,10.517361299993354,10.517361299993354,10.648950100003276,0,,,1,[0.13111430000572],[0.1311202999931993],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/140_y_f_h_a.jpg,happiness,27,27,0,0,,,1,[0.08418599999276921],[0.08419569999387022],0,,,0,,,0,,,0,,,0,27,27,54,10.81044380000094,,,,,,,,,10.801093100002618,10.81044380000094,10.904352099998505,10.905435599997872,10.925257299997611,10.925257299997611,10.925257299997611,10.925257299997611,10.925257299997611,10.925257299997611,11.010318600005121,0,,,1,[0.08418599999276921],[0.08419569999387022],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/004_o_m_s_b.jpg,sadness,28,28,0,0,,,1,[0.05924439999216702],[0.05925520000164397],0,,,0,,,0,,,0,,,0,28,28,11,11.194795200004592,,,,,,,,,11.184724599996116,11.194795200004592,11.273400999998557,11.274044299992966,11.293878399999812,11.293878399999812,11.293878399999812,11.293878399999812,11.293878399999812,11.293878399999812,11.354261400003452,0,,,1,[0.05924439999216702],[0.05925520000164397],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/079_o_f_s_a.jpg,sadness,29,29,0,0,,,1,[0.07847620001120958],[0.07848960001138039],0,,,0,,,0,,,0,,,0,29,29,34,11.603711599993403,,,,,,,,,11.586885800003074,11.603711599993403,11.61118069999793,11.611418899992714,11.628841500001727,11.628841500001727,11.628841500001727,11.628841500001727,11.628841500001727,11.628841500001727,11.708190100005595,0,,,1,[0.07847620001120958],[0.07848960001138039],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
faces/079_o_f_a_b.jpg,anger,30,30,0,0,,,1,[0.07612940001126844],[0.07614360000297893],0,,,0,,,0,,,0,,,0,30,30,25,11.949449799998547,,,,,,,,,11.935637999995379,11.949449799998547,11.970773199995165,11.972570500001893,11.996448399993824,11.996448399993824,11.996448399993824,11.996448399993824,11.996448399993824,11.996448399993824,12.073554100003093,0,,,1,[0.07612940001126844],[0.07614360000297893],0,,,0,,,0,,,0,,,disgust,0,,,043829,001,2025-12-06_18h52.17.328,faces_experiment,,2025.1.1,None,2025-12-06 18h52.22.000459 +0100,
