image_file,correct_emotion,thisN,thisTrialN,thisRepN,btn_anger_2.numClicks,btn_anger_2.timesOn,btn_anger_2.timesOff,btn_disgust_2.numClicks,btn_disgust_2.timesOn,btn_disgust_2.timesOff,btn_fear_2.numClicks,btn_fear_2.timesOn,btn_fear_2.timesOff,btn_happiness_2.numClicks,btn_happiness_2.timesOn,btn_happiness_2.timesOff,btn_neutrality_2.numClicks,btn_neutrality_2.timesOn,btn_neutrality_2.timesOff,btn_sadness_2.numClicks,btn_sadness_2.timesOn,btn_sadness_2.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,introduction_text.started,btn_start.started,introduction.stopped,btn_start.numClicks,btn_start.timesOn,btn_start.timesOff,trial_face.started,trial_face.stopped,trial_response.started,btn_anger_2.started,btn_disgust_2.started,btn_fear_2.started,btn_happiness_2.started,btn_neutrality_2.started,btn_sadness_2.started,trial_response.stopped,trials.btn_anger_2.numClicks,trials.btn_anger_2.timesOn,trials.btn_anger_2.timesOff,trials.btn_disgust_2.numClicks,trials.btn_disgust_2.timesOn,trials.btn_disgust_2.timesOff,trials.btn_fear_2.numClicks,trials.btn_fear_2.timesOn,trials.btn_fear_2.timesOff,trials.btn_happiness_2.numClicks,trials.btn_happiness_2.timesOn,trials.btn_happiness_2.timesOff,clickedEmotion,correct,trials.btn_neutrality_2.numClicks,trials.btn_neutrality_2.timesOn,trials.btn_neutrality_2.timesOff,trials.btn_sadness_2.numClicks,trials.btn_sadness_2.timesOn,trials.btn_sadness_2.timesOff,image_stim.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006098399986512959,0.015378699987195432,0.015378699987195432,1.001470099989092,1,[0.9857090000004973],[0.985719300006167],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506656,001,2025-12-06_16h58.07.870,faces_experiment,,2025.1.1,None,2025-12-06 16h58.17.153407 +0100,
faces/140_y_f_d_a.jpg,disgust,0,0,0,0,,,1,[1.401390300001367],[1.401403099996969],0,,,0,,,0,,,0,,,0,0,0,50,1.324822899987339,,,,,,,,,1.2736882999888621,1.2737768999941181,1.2776128999976208,1.324822899987339,1.324822899987339,1.324822899987339,1.324822899987339,1.324822899987339,1.324822899987339,2.72750389999419,0,,,1,[1.401390300001367],[1.401403099996969],0,,,0,,,disgust,1,0,,,0,,,,506656,001,2025-12-06_16h58.07.870,faces_experiment,,2025.1.1,None,2025-12-06 16h58.17.153407 +0100,
faces/079_o_f_f_b.jpg,fear,1,1,0,0,,,1,[0.5569277000031434],[0.5569404999987455],0,,,0,,,0,,,0,,,0,1,1,29,2.9760114999953657,,,,,,,,,2.958893099988927,2.980831399996532,2.981118299998343,2.999811299989233,2.999811299989233,2.999811299989233,2.999811299989233,2.999811299989233,2.999811299989233,3.5577236999961315,0,,,1,[0.5569277000031434],[0.5569404999987455],0,,,0,,,disgust,0,0,,,0,,,2.9760114999953657,506656,001,2025-12-06_16h58.07.870,faces_experiment,,2025.1.1,None,2025-12-06 16h58.17.153407 +0100,
faces/066_y_m_h_a.jpg,happiness,2,2,0,0,,,1,[0.3494788000098197],[0.3494887999986531],0,,,0,,,0,,,0,,,0,2,2,18,3.79093789999024,,,,,,,,,3.778613899994525,3.8101431999966735,3.8105107999872416,3.8290398999961326,3.8290398999961326,3.8290398999961326,3.8290398999961326,3.8290398999961326,3.8290398999961326,4.179478899997775,0,,,1,[0.3494788000098197],[0.3494887999986531],0,,,0,,,disgust,0,0,,,0,,,3.79093789999024,506656,001,2025-12-06_16h58.07.870,faces_experiment,,2025.1.1,None,2025-12-06 16h58.17.153407 +0100,
faces/004_o_m_f_a.jpg,fear,3,3,0,0,,,1,[0.35189199999149423],[0.35190150000562426],0,,,0,,,0,,,0,,,0,3,3,4,4.365221100000781,,,,,,,,,4.352265499997884,4.496519099993748,4.497153799995431,4.519429799998761,4.519429799998761,4.519429799998761,4.519429799998761,4.519429799998761,4.519429799998761,4.8721834999887506,0,,,1,[0.35189199999149423],[0.35190150000562426],0,,,0,,,disgust,0,0,,,0,,,4.365221100000781,506656,001,2025-12-06_16h58.07.870,faces_experiment,,2025.1.1,None,2025-12-06 16h58.17.153407 +0100,
faces/079_o_f_s_b.jpg,sadness,4,4,0,0,,,1,[0.2917706000007456],[0.29178079999110196],0,,,0,,,0,,,0,,,0,4,4,35,5.123634999996284,,,,,,,,,5.1111089999903925,5.123903199986671,5.1243607999931555,5.140639499993995,5.140639499993995,5.140639499993995,5.140639499993995,5.140639499993995,5.140639499993995,5.433532099996228,0,,,1,[0.2917706000007456],[0.29178079999110196],0,,,0,,,disgust,0,0,,,0,,,5.123634999996284,506656,001,2025-12-06_16h58.07.870,faces_experiment,,2025.1.1,None,2025-12-06 16h58.17.153407 +0100,
faces/116_m_m_d_a.jpg,disgust,5,5,0,0,,,1,[0.5564023000042653],[0.5564129999984289],0,,,0,,,0,,,0,,,0,5,5,38,5.66625799999747,,,,,,,,,5.65351340000052,5.68637409999792,5.686631399992621,5.704610599990701,5.704610599990701,5.704610599990701,5.704610599990701,5.704610599990701,5.704610599990701,6.262013499988825,0,,,1,[0.5564023000042653],[0.5564129999984289],0,,,0,,,disgust,1,0,,,0,,,5.66625799999747,506656,001,2025-12-06_16h58.07.870,faces_experiment,,2025.1.1,None,2025-12-06 16h58.17.153407 +0100,
faces/066_y_m_a_a.jpg,anger,6,6,0,0,,,1,[0.5359947999968426],[0.5360075999924447],0,,,0,,,0,,,0,,,0,6,6,12,6.512363299989374,,,,,,,,,6.496066499996232,6.512876199994935,6.513442399998894,6.528941199998371,6.528941199998371,6.528941199998371,6.528941199998371,6.528941199998371,6.528941199998371,7.065774499991676,0,,,1,[0.5359947999968426],[0.5360075999924447],0,,,0,,,disgust,0,0,,,0,,,6.512363299989374,506656,001,2025-12-06_16h58.07.870,faces_experiment,,2025.1.1,None,2025-12-06 16h58.17.153407 +0100,
faces/140_y_f_n_b.jpg,neutrality,7,7,0,0,,,1,[0.5926459999900544],[0.5926551000011386],0,,,0,,,0,,,0,,,0,7,7,57,7.254266699994332,,,,,,,,,7.241439599994919,7.319117399994866,7.31940379999287,7.38588639999216,7.38588639999216,7.38588639999216,7.38588639999216,7.38588639999216,7.38588639999216,7.979420799994841,0,,,1,[0.5926459999900544],[0.5926551000011386],0,,,0,,,disgust,0,0,,,0,,,7.254266699994332,506656,001,2025-12-06_16h58.07.870,faces_experiment,,2025.1.1,None,2025-12-06 16h58.17.153407 +0100,
faces/079_o_f_n_a.jpg,neutrality,8,8,0,0,,,1,[0.318930299996282],[0.31893989999662153],0,,,0,,,0,,,0,,,0,8,8,32,8.229921599995578,,,,,,,,,8.216113299989956,8.23019299999578,8.230845699989004,8.248460799994064,8.248460799994064,8.248460799994064,8.248460799994064,8.248460799994064,8.248460799994064,8.568264999994426,0,,,1,[0.318930299996282],[0.31893989999662153],0,,,0,,,disgust,0,0,,,0,,,8.229921599995578,506656,001,2025-12-06_16h58.07.870,faces_experiment,,2025.1.1,None,2025-12-06 16h58.17.153407 +0100,
