6.6130 	EXP 	New trial (rep=0, index=6): <Trial 6 (6 in rep 0) data={'image_file': 'faces/168_m_f_s_b.jpg', 'correct_emotion': 'sadness', 'thisN': 6, 'thisTrialN': 6, 'thisRepN': 0}>
6.7027 	EXP 	imageStim: autoDraw = False
6.7027 	EXP 	imageStim: image = 'faces/168_m_f_s_b.jpg'
6.7027 	EXP 	imageStim: autoDraw = True
6.7521 	DATA 	Mouse:  Left button up, pos=(1290,144)
6.9499 	EXP 	imageStim: autoDraw = False
7.4557 	DATA 	Mouse: Left button down, pos=(1251,347)
7.4627 	EXP 	New trial (rep=0, index=7): <Trial 7 (7 in rep 0) data={'image_file': 'faces/066_y_m_d_b.jpg', 'correct_emotion': 'disgust', 'thisN': 7, 'thisTrialN': 7, 'thisRepN': 0}>
7.5497 	EXP 	imageStim: autoDraw = False
7.5497 	EXP 	imageStim: image = 'faces/066_y_m_d_b.jpg'
7.5497 	EXP 	imageStim: autoDraw = True
7.5679 	DATA 	Mouse:  Left button up, pos=(1251,347)
7.7276 	DATA 	Mouse: Left button down, pos=(1251,347)
7.7333 	EXP 	New trial (rep=0, index=8): <Trial 8 (8 in rep 0) data={'image_file': 'faces/140_y_f_a_a.jpg', 'correct_emotion': 'anger', 'thisN': 8, 'thisTrialN': 8, 'thisRepN': 0}>
7.8132 	DATA 	Mouse:  Left button up, pos=(1251,347)
7.8245 	EXP 	imageStim: autoDraw = False
7.8245 	EXP 	imageStim: image = 'faces/140_y_f_a_a.jpg'
7.8245 	EXP 	imageStim: autoDraw = True
7.8805 	DATA 	Mouse: Left button down, pos=(1251,347)
7.8813 	EXP 	New trial (rep=0, index=9): <Trial 9 (9 in rep 0) data={'image_file': 'faces/079_o_f_s_a.jpg', 'correct_emotion': 'sadness', 'thisN': 9, 'thisTrialN': 9, 'thisRepN': 0}>
7.9619 	DATA 	Mouse:  Left button up, pos=(1251,347)
7.9739 	EXP 	imageStim: autoDraw = False
7.9739 	EXP 	imageStim: image = 'faces/079_o_f_s_a.jpg'
7.9739 	EXP 	imageStim: autoDraw = True
8.0579 	DATA 	Mouse: Left button down, pos=(1251,347)
