image_file,correct_emotion,thisN,thisTrialN,thisRepN,btn_anger.numClicks,btn_anger.timesOn,btn_anger.timesOff,btn_disgust.numClicks,btn_disgust.timesOn,btn_disgust.timesOff,btn_fear.numClicks,btn_fear.timesOn,btn_fear.timesOff,btn_happiness.numClicks,btn_happiness.timesOn,btn_happiness.timesOff,btn_neutrality.numClicks,btn_neutrality.timesOn,btn_neutrality.timesOff,btn_sadness.numClicks,btn_sadness.timesOn,btn_sadness.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,introduction_text.started,btn_start.started,introduction_text.stopped,introduction.stopped,btn_start.numClicks,btn_start.timesOn,btn_start.timesOff,trial.started,imageStim.started,btn_anger.started,btn_disgust.started,btn_fear.started,btn_happiness.started,btn_neutrality.started,btn_sadness.started,imageStim.stopped,trial.stopped,trials.btn_anger.numClicks,trials.btn_anger.timesOn,trials.btn_anger.timesOff,clickedEmotion,correct,trials.btn_disgust.numClicks,trials.btn_disgust.timesOn,trials.btn_disgust.timesOff,trials.btn_fear.numClicks,trials.btn_fear.timesOn,trials.btn_fear.timesOff,trials.btn_happiness.numClicks,trials.btn_happiness.timesOn,trials.btn_happiness.timesOff,trials.btn_neutrality.numClicks,trials.btn_neutrality.timesOn,trials.btn_neutrality.timesOff,trials.btn_sadness.numClicks,trials.btn_sadness.timesOn,trials.btn_sadness.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
faces/140_y_f_h_a.jpg,happiness,9,9,0,0,,,1,[0.04109070001868531],[0.04109430001699366],0,,,0,,,0,,,0,,,0,9,9,54,5.690000200003851,,,,,,,,,,5.677288000006229,5.690000200003851,5.690000200003851,5.690000200003851,5.690000200003851,5.690000200003851,5.690000200003851,5.690000200003851,,5.731443800003035,0,,,disgust,0,1,[0.04109070001868531],[0.04109430001699366],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/116_m_m_a_b.jpg,anger,10,10,0,0,,,1,[0.06744990000152029],[0.06745329999830574],0,,,0,,,0,,,0,,,0,10,10,37,5.817158399993787,,,,,,,,,,5.806382599985227,5.817158399993787,5.817158399993787,5.817158399993787,5.817158399993787,5.817158399993787,5.817158399993787,5.817158399993787,,5.88494940000237,0,,,disgust,0,1,[0.06744990000152029],[0.06745329999830574],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/079_o_f_a_b.jpg,anger,11,11,0,0,,,1,[0.07100199998239987],[0.07100520000676624],0,,,0,,,0,,,0,,,0,11,11,25,5.973015299998224,,,,,,,,,,5.9634197000123095,5.973015299998224,5.973015299998224,5.973015299998224,5.973015299998224,5.973015299998224,5.973015299998224,5.973015299998224,,6.044342400011374,0,,,disgust,0,1,[0.07100199998239987],[0.07100520000676624],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/079_o_f_n_b.jpg,neutrality,12,12,0,0,,,1,[0.08031289998325519],[0.08031679998384789],0,,,0,,,0,,,0,,,0,12,12,33,6.132107000012184,,,,,,,,,,6.122672600002261,6.132107000012184,6.132107000012184,6.132107000012184,6.132107000012184,6.132107000012184,6.132107000012184,6.132107000012184,,6.212744499993278,0,,,disgust,0,1,[0.08031289998325519],[0.08031679998384789],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/116_m_m_s_a.jpg,sadness,13,13,0,0,,,1,[0.09388050000416115],[0.0938834999979008],0,,,0,,,0,,,0,,,0,13,13,46,6.296165899984771,,,,,,,,,,6.286370999994688,6.296165899984771,6.296165899984771,6.296165899984771,6.296165899984771,6.296165899984771,6.296165899984771,6.296165899984771,,6.3903774000064,0,,,disgust,0,1,[0.09388050000416115],[0.0938834999979008],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/066_y_m_f_a.jpg,fear,14,14,0,0,,,1,[0.09319640000467189],[0.09320010000374168],0,,,0,,,0,,,0,,,0,14,14,16,6.471907900006045,,,,,,,,,,6.462519699998666,6.471907900006045,6.471907900006045,6.471907900006045,6.471907900006045,6.471907900006045,6.471907900006045,6.471907900006045,,6.565438499994343,0,,,disgust,0,1,[0.09319640000467189],[0.09320010000374168],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/066_y_m_s_b.jpg,sadness,15,15,0,0,,,1,[0.054553299996769056],[0.05455699999583885],0,,,0,,,0,,,0,,,0,15,15,23,6.656449800007977,,,,,,,,,,6.642387800005963,6.656449800007977,6.656449800007977,6.656449800007977,6.656449800007977,6.656449800007977,6.656449800007977,6.656449800007977,,6.711333499988541,0,,,disgust,0,1,[0.054553299996769056],[0.05455699999583885],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/066_y_m_a_b.jpg,anger,16,16,0,0,,,1,[0.08134140001493506],[0.08134480001172051],0,,,0,,,0,,,0,,,0,16,16,13,6.7962628999957815,,,,,,,,,,6.786922200000845,6.7962628999957815,6.7962628999957815,6.7962628999957815,6.7962628999957815,6.7962628999957815,6.7962628999957815,6.7962628999957815,,6.877967600012198,0,,,disgust,0,1,[0.08134140001493506],[0.08134480001172051],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/140_y_f_a_b.jpg,anger,17,17,0,0,,,1,[0.19979119999334216],[0.19979449998936616],0,,,0,,,0,,,0,,,0,17,17,49,6.969038799987175,,,,,,,,,,6.95927659998415,6.969038799987175,6.969038799987175,6.969038799987175,6.969038799987175,6.969038799987175,6.969038799987175,6.969038799987175,,7.169158200005768,0,,,disgust,0,1,[0.19979119999334216],[0.19979449998936616],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
faces/116_m_m_h_b.jpg,happiness,18,18,0,0,,,1,[0.0962569999974221],[0.0962600999919232],0,,,0,,,0,,,0,,,0,18,18,43,7.252811999991536,,,,,,,,,,7.242273999989266,7.252811999991536,7.252811999991536,7.252811999991536,7.252811999991536,7.252811999991536,7.252811999991536,7.252811999991536,,7.3494186000025366,0,,,disgust,0,1,[0.0962569999974221],[0.0962600999919232],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h18.55.130,faces_experiment,,2025.1.1,None,2025-12-05 13h18.58.826935 +0100,
