image_file,correct_emotion,thisN,thisTrialN,thisRepN,btn_anger.numClicks,btn_anger.timesOn,btn_anger.timesOff,btn_disgust.numClicks,btn_disgust.timesOn,btn_disgust.timesOff,btn_fear.numClicks,btn_fear.timesOn,btn_fear.timesOff,btn_happiness.numClicks,btn_happiness.timesOn,btn_happiness.timesOff,btn_neutrality.numClicks,btn_neutrality.timesOn,btn_neutrality.timesOff,btn_sadness.numClicks,btn_sadness.timesOn,btn_sadness.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,introduction_text.started,btn_start.started,introduction.stopped,btn_start.numClicks,btn_start.timesOn,btn_start.timesOff,trial.started,imageStim.started,btn_anger.started,btn_disgust.started,btn_fear.started,btn_happiness.started,btn_neutrality.started,btn_sadness.started,trial.stopped,trials.btn_anger.numClicks,trials.btn_anger.timesOn,trials.btn_anger.timesOff,clickedEmotion,correct,trials.btn_disgust.numClicks,trials.btn_disgust.timesOn,trials.btn_disgust.timesOff,trials.btn_fear.numClicks,trials.btn_fear.timesOn,trials.btn_fear.timesOff,trials.btn_happiness.numClicks,trials.btn_happiness.timesOn,trials.btn_happiness.timesOff,trials.btn_neutrality.numClicks,trials.btn_neutrality.timesOn,trials.btn_neutrality.timesOff,trials.btn_sadness.numClicks,trials.btn_sadness.timesOn,trials.btn_sadness.timesOff,imageStim.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007194799982244149,0.011015299998689443,0.011015299998689443,6.008740999997826,1,[5.997559699986596],[5.997563899989473],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993171,001,2025-12-05_15h53.52.471,faces_experiment,,2025.1.1,135.59708136504443,2025-12-05 15h53.55.432331 +0100,
faces/066_y_m_d_b.jpg,disgust,0,0,0,0,,,1,[0.02889570000115782],[0.028901200013933703],0,,,0,,,0,,,0,,,0,0,0,15,6.157689599989681,,,,,,,,,6.127986299979966,6.157689599989681,6.157689599989681,6.157689599989681,6.157689599989681,6.157689599989681,6.157689599989681,6.157689599989681,6.1869508999807294,0,,,disgust,1,1,[0.02889570000115782],[0.028901200013933703],0,,,0,,,0,,,0,,,,993171,001,2025-12-05_15h53.52.471,faces_experiment,,2025.1.1,135.59708136504443,2025-12-05 15h53.55.432331 +0100,
faces/066_y_m_s_b.jpg,sadness,1,1,0,0,,,1,[0.48533530000713654],[0.48534130002371967],0,,,0,,,0,,,0,,,0,1,1,23,6.312010399997234,,,,,,,,,6.3001458999933675,6.312010399997234,6.312010399997234,6.312010399997234,6.312010399997234,6.312010399997234,6.312010399997234,6.312010399997234,6.79783789999783,0,,,disgust,0,1,[0.48533530000713654],[0.48534130002371967],0,,,0,,,0,,,0,,,6.5519910999864805,993171,001,2025-12-05_15h53.52.471,faces_experiment,,2025.1.1,135.59708136504443,2025-12-05 15h53.55.432331 +0100,
faces/004_o_m_n_b.jpg,neutrality,2,2,0,0,,,1,[0.057519499998306856],[0.0575228999950923],0,,,0,,,0,,,0,,,0,2,2,9,6.903263999993214,,,,,,,,,6.892271699995035,6.903263999993214,6.903263999993214,6.903263999993214,6.903263999993214,6.903263999993214,6.903263999993214,6.903263999993214,6.961105399997905,0,,,disgust,0,1,[0.057519499998306856],[0.0575228999950923],0,,,0,,,0,,,0,,,,993171,001,2025-12-05_15h53.52.471,faces_experiment,,2025.1.1,135.59708136504443,2025-12-05 15h53.55.432331 +0100,
faces/140_y_f_n_a.jpg,neutrality,3,3,0,0,,,1,[0.04355820000637323],[0.04356250001001172],0,,,0,,,0,,,0,,,0,3,3,56,7.06220739998389,,,,,,,,,7.050464499974623,7.06220739998389,7.06220739998389,7.06220739998389,7.06220739998389,7.06220739998389,7.06220739998389,7.06220739998389,7.10614339998574,0,,,disgust,0,1,[0.04355820000637323],[0.04356250001001172],0,,,0,,,0,,,0,,,,993171,001,2025-12-05_15h53.52.471,faces_experiment,,2025.1.1,135.59708136504443,2025-12-05 15h53.55.432331 +0100,
faces/004_o_m_d_b.jpg,disgust,4,4,0,0,,,1,[0.06563280001864769],[0.06563789999927394],0,,,0,,,0,,,0,,,0,4,4,3,7.195341599988751,,,,,,,,,7.183223899977747,7.195341599988751,7.195341599988751,7.195341599988751,7.195341599988751,7.195341599988751,7.195341599988751,7.195341599988751,7.26135349998367,0,,,disgust,1,1,[0.06563280001864769],[0.06563789999927394],0,,,0,,,0,,,0,,,,993171,001,2025-12-05_15h53.52.471,faces_experiment,,2025.1.1,135.59708136504443,2025-12-05 15h53.55.432331 +0100,
faces/066_y_m_f_b.jpg,fear,5,5,0,0,,,1,[0.04530989998602308],[0.045313999988138676],0,,,0,,,0,,,0,,,0,5,5,17,7.3635738999873865,,,,,,,,,7.352600899990648,7.3635738999873865,7.3635738999873865,7.3635738999873865,7.3635738999873865,7.3635738999873865,7.3635738999873865,7.3635738999873865,7.409514999977546,0,,,disgust,0,1,[0.04530989998602308],[0.045313999988138676],0,,,0,,,0,,,0,,,,993171,001,2025-12-05_15h53.52.471,faces_experiment,,2025.1.1,135.59708136504443,2025-12-05 15h53.55.432331 +0100,
faces/004_o_m_s_a.jpg,sadness,6,6,0,0,,,1,[0.00044219999108463526],[0.0004450999840628356],0,,,0,,,0,,,0,,,0,6,6,10,7.568124999990687,,,,,,,,,7.556921899988083,7.568124999990687,7.568124999990687,7.568124999990687,7.568124999990687,7.568124999990687,7.568124999990687,7.568124999990687,7.568926699983422,0,,,disgust,0,1,[0.00044219999108463526],[0.0004450999840628356],0,,,0,,,0,,,0,,,,993171,001,2025-12-05_15h53.52.471,faces_experiment,,2025.1.1,135.59708136504443,2025-12-05 15h53.55.432331 +0100,
faces/168_m_f_d_a.jpg,disgust,7,7,0,0,,,1,[0.05493930002558045],[0.0549427000223659],0,,,0,,,0,,,0,,,0,7,7,62,7.667217599984724,,,,,,,,,7.655457899993053,7.667217599984724,7.667217599984724,7.667217599984724,7.667217599984724,7.667217599984724,7.667217599984724,7.667217599984724,7.722498299990548,0,,,disgust,1,1,[0.05493930002558045],[0.0549427000223659],0,,,0,,,0,,,0,,,,993171,001,2025-12-05_15h53.52.471,faces_experiment,,2025.1.1,135.59708136504443,2025-12-05 15h53.55.432331 +0100,
faces/140_y_f_d_b.jpg,disgust,8,8,0,0,,,1,[0.0009983000054489821],[0.0010019000037573278],0,,,0,,,0,,,0,,,0,8,8,51,7.87175589997787,,,,,,,,,7.861003500001971,7.87175589997787,7.87175589997787,7.87175589997787,7.87175589997787,7.87175589997787,7.87175589997787,7.87175589997787,7.873116999980994,0,,,disgust,1,1,[0.0009983000054489821],[0.0010019000037573278],0,,,0,,,0,,,0,,,,993171,001,2025-12-05_15h53.52.471,faces_experiment,,2025.1.1,135.59708136504443,2025-12-05 15h53.55.432331 +0100,
