image_file,correct_emotion,thisN,thisTrialN,thisRepN,btn_anger.numClicks,btn_anger.timesOn,btn_anger.timesOff,btn_disgust.numClicks,btn_disgust.timesOn,btn_disgust.timesOff,btn_fear.numClicks,btn_fear.timesOn,btn_fear.timesOff,btn_happiness.numClicks,btn_happiness.timesOn,btn_happiness.timesOff,btn_neutrality.numClicks,btn_neutrality.timesOn,btn_neutrality.timesOff,btn_sadness.numClicks,btn_sadness.timesOn,btn_sadness.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,btn_anger.started,btn_disgust.started,btn_fear.started,btn_happiness.started,btn_neutrality.started,btn_sadness.started,trial.stopped,trials.btn_anger.numClicks,trials.btn_anger.timesOn,trials.btn_anger.timesOff,clickedEmotion,correct,trials.btn_disgust.numClicks,trials.btn_disgust.timesOn,trials.btn_disgust.timesOff,trials.btn_fear.numClicks,trials.btn_fear.timesOn,trials.btn_fear.timesOff,trials.btn_happiness.numClicks,trials.btn_happiness.timesOn,trials.btn_happiness.timesOff,trials.btn_neutrality.numClicks,trials.btn_neutrality.timesOn,trials.btn_neutrality.timesOff,trials.btn_sadness.numClicks,trials.btn_sadness.timesOn,trials.btn_sadness.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
faces/116_m_m_d_b.jpg,disgust,0,0,0,0,,,0,,,1,[2.8255999000102747],[2.82560330000706],0,,,0,,,0,,,0,0,0,39,0.21170439998968504,,0.12275780001073144,0.21170439998968504,0.21170439998968504,0.21170439998968504,0.21170439998968504,0.21170439998968504,0.21170439998968504,3.0376308000122663,0,,,fear,0,0,,,1,[2.8255999000102747],[2.82560330000706],0,,,0,,,0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
faces/168_m_f_n_b.jpg,neutrality,1,1,0,0,,,1,[1.1136773000180256],[1.1136804000125267],0,,,0,,,0,,,0,,,0,1,1,69,3.139035400003195,,3.1288194000080694,3.139035400003195,3.139035400003195,3.139035400003195,3.139035400003195,3.139035400003195,3.139035400003195,4.2530301999941,0,,,disgust,0,1,[1.1136773000180256],[1.1136804000125267],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
faces/004_o_m_a_b.jpg,anger,2,2,0,0,,,1,[0.06873920001089573],[0.06874220000463538],0,,,0,,,0,,,0,,,0,2,2,1,4.336773799994262,,4.325441699998919,4.336773799994262,4.336773799994262,4.336773799994262,4.336773799994262,4.336773799994262,4.336773799994262,4.405835200013826,0,,,disgust,0,1,[0.06873920001089573],[0.06874220000463538],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
faces/079_o_f_d_a.jpg,disgust,3,3,0,0,,,1,[0.054334199987351894],[0.054337100009433925],0,,,0,,,0,,,0,,,0,3,3,26,4.496766399999615,,4.485450200008927,4.496766399999615,4.496766399999615,4.496766399999615,4.496766399999615,4.496766399999615,4.496766399999615,4.551420400006464,0,,,disgust,1,1,[0.054334199987351894],[0.054337100009433925],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
faces/168_m_f_f_a.jpg,fear,4,4,0,0,,,1,[0.06570480001391843],[0.06570760000613518],0,,,0,,,0,,,0,,,0,4,4,64,4.637313699990045,,4.628359700000146,4.637313699990045,4.637313699990045,4.637313699990045,4.637313699990045,4.637313699990045,4.637313699990045,4.703333599987673,0,,,disgust,0,1,[0.06570480001391843],[0.06570760000613518],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
faces/066_y_m_n_a.jpg,neutrality,5,5,0,0,,,1,[0.03358010001829825],[0.033582900010515004],0,,,0,,,0,,,0,,,0,5,5,20,4.795282000006409,,4.780142200004775,4.795282000006409,4.795282000006409,4.795282000006409,4.795282000006409,4.795282000006409,4.795282000006409,4.82919670001138,0,,,disgust,0,1,[0.03358010001829825],[0.033582900010515004],0,,,0,,,0,,,0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
faces/066_y_m_s_a.jpg,sadness,6,6,0,0,,,0,,,0,,,0,,,1,[0.2319677000050433],[0.23197069999878295],0,,,0,6,6,22,4.919829899998149,,4.906352499994682,4.919829899998149,4.919829899998149,4.919829899998149,4.919829899998149,4.919829899998149,4.919829899998149,5.151971799990861,0,,,neutrality,0,0,,,0,,,0,,,1,[0.2319677000050433],[0.23197069999878295],0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
faces/140_y_f_a_a.jpg,anger,7,7,0,0,,,0,,,0,,,0,,,1,[0.21365240000886843],[0.21365530000184663],0,,,0,7,7,48,5.239956400007941,,5.231670300010592,5.239956400007941,5.239956400007941,5.239956400007941,5.239956400007941,5.239956400007941,5.239956400007941,5.453782600001432,0,,,neutrality,0,0,,,0,,,0,,,1,[0.21365240000886843],[0.21365530000184663],0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
faces/168_m_f_s_a.jpg,sadness,8,8,0,0,,,0,,,0,,,0,,,1,[0.10694019999937154],[0.10694359999615699],0,,,0,8,8,70,5.540832300001057,,5.531000599992694,5.540832300001057,5.540832300001057,5.540832300001057,5.540832300001057,5.540832300001057,5.540832300001057,5.647972500009928,0,,,neutrality,0,0,,,0,,,0,,,1,[0.10694019999937154],[0.10694359999615699],0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
faces/140_y_f_d_a.jpg,disgust,9,9,0,0,,,0,,,0,,,0,,,1,[0.053868699993472546],[0.0538714999856893],0,,,0,9,9,50,5.739822400006233,,5.730879200011259,5.739822400006233,5.739822400006233,5.739822400006233,5.739822400006233,5.739822400006233,5.739822400006233,5.793852600007085,0,,,neutrality,0,0,,,0,,,0,,,1,[0.053868699993472546],[0.0538714999856893],0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
faces/004_o_m_f_a.jpg,fear,10,10,0,0,,,0,,,0,,,0,,,1,[0.07456000000820495],[0.07456310000270605],0,,,0,10,10,4,5.8786557000130415,,5.8705598000087775,5.8786557000130415,5.8786557000130415,5.8786557000130415,5.8786557000130415,5.8786557000130415,5.8786557000130415,5.953417599987006,0,,,neutrality,0,0,,,0,,,0,,,1,[0.07456000000820495],[0.07456310000270605],0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
faces/116_m_m_n_a.jpg,neutrality,11,11,0,0,,,0,,,0,,,0,,,1,[0.06760969999595545],[0.0676126999896951],0,,,0,11,11,44,6.0387857999885455,,6.029821900010575,6.0387857999885455,6.0387857999885455,6.0387857999885455,6.0387857999885455,6.0387857999885455,6.0387857999885455,6.106571899988921,0,,,neutrality,1,0,,,0,,,0,,,1,[0.06760969999595545],[0.0676126999896951],0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
faces/079_o_f_f_b.jpg,fear,12,12,0,0,,,0,,,0,,,0,,,1,[0.05460120001225732],[0.05460440000751987],0,,,0,12,12,29,6.198777599987807,,6.189107999991393,6.198777599987807,6.198777599987807,6.198777599987807,6.198777599987807,6.198777599987807,6.198777599987807,6.253593500005081,0,,,neutrality,0,0,,,0,,,0,,,1,[0.05460120001225732],[0.05460440000751987],0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
faces/066_y_m_h_b.jpg,happiness,13,13,0,0,,,0,,,0,,,0,,,1,[0.119915100018261],[0.11991890001809224],0,,,0,13,13,19,6.341841499990551,,6.331596200005151,6.341841499990551,6.341841499990551,6.341841499990551,6.341841499990551,6.341841499990551,6.341841499990551,6.4619703000062145,0,,,neutrality,0,0,,,0,,,0,,,1,[0.119915100018261],[0.11991890001809224],0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
faces/116_m_m_h_a.jpg,happiness,14,14,0,0,,,0,,,0,,,0,,,1,[0.07542750000720844],[0.07543029999942519],0,,,0,14,14,42,6.552423599991016,,6.539936399989529,6.552423599991016,6.552423599991016,6.552423599991016,6.552423599991016,6.552423599991016,6.552423599991016,6.62806869999622,0,,,neutrality,0,0,,,0,,,0,,,1,[0.07542750000720844],[0.07543029999942519],0,,,pilot,001,2025-12-05_13h07.40.656,faces_experiment,,2025.1.1,143.92796693219225,2025-12-05 13h07.44.239528 +0100,
