image_file,correct_emotion,thisN,thisTrialN,thisRepN,btn_anger.numClicks,btn_anger.timesOn,btn_anger.timesOff,btn_disgust.numClicks,btn_disgust.timesOn,btn_disgust.timesOff,btn_fear.numClicks,btn_fear.timesOn,btn_fear.timesOff,btn_happiness.numClicks,btn_happiness.timesOn,btn_happiness.timesOff,btn_neutrality.numClicks,btn_neutrality.timesOn,btn_neutrality.timesOff,btn_sadness.numClicks,btn_sadness.timesOn,btn_sadness.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,imageStim.started,btn_anger.started,btn_disgust.started,btn_fear.started,btn_happiness.started,btn_neutrality.started,btn_sadness.started,imageStim.stopped,trial.stopped,trials.btn_anger.numClicks,trials.btn_anger.timesOn,trials.btn_anger.timesOff,clickedEmotion,correct,trials.btn_disgust.numClicks,trials.btn_disgust.timesOn,trials.btn_disgust.timesOff,trials.btn_fear.numClicks,trials.btn_fear.timesOn,trials.btn_fear.timesOff,trials.btn_happiness.numClicks,trials.btn_happiness.timesOn,trials.btn_happiness.timesOff,trials.btn_neutrality.numClicks,trials.btn_neutrality.timesOn,trials.btn_neutrality.timesOff,trials.btn_sadness.numClicks,trials.btn_sadness.timesOn,trials.btn_sadness.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
faces/140_y_f_n_b.jpg,neutrality,0,0,0,1,[7.491404800006421],[7.491407599998638],0,,,0,,,0,,,0,,,0,,,0,0,0,57,0.12053769998601638,,0.1016370999859646,0.12053769998601638,0.12053769998601638,0.12053769998601638,0.12053769998601638,0.12053769998601638,0.12053769998601638,0.12053769998601638,1.115697800007183,7.612364600005094,1,[7.491404800006421],[7.491407599998638],anger,0,0,,,0,,,0,,,0,,,0,,,pilot,001,2025-12-05_12h52.28.643,faces_experiment,,2025.1.1,140.86907764709878,2025-12-05 12h52.31.346670 +0100,
faces/079_o_f_d_a.jpg,disgust,1,1,0,1,[0.03905469999881461],[0.039057500020135194],0,,,0,,,0,,,0,,,0,,,0,1,1,26,7.71924800000852,,7.700784399989061,7.71924800000852,7.71924800000852,7.71924800000852,7.71924800000852,7.71924800000852,7.71924800000852,7.71924800000852,,7.7587080000084825,1,[0.03905469999881461],[0.039057500020135194],anger,0,0,,,0,,,0,,,0,,,0,,,pilot,001,2025-12-05_12h52.28.643,faces_experiment,,2025.1.1,140.86907764709878,2025-12-05 12h52.31.346670 +0100,
faces/140_y_f_n_a.jpg,neutrality,2,2,0,1,[0.03357429997413419],[0.033579599985387176],0,,,0,,,0,,,0,,,0,,,0,2,2,56,7.856837700004689,,7.839535799983423,7.856837700004689,7.856837700004689,7.856837700004689,7.856837700004689,7.856837700004689,7.856837700004689,7.856837700004689,,7.890822199988179,1,[0.03357429997413419],[0.033579599985387176],anger,0,0,,,0,,,0,,,0,,,0,,,pilot,001,2025-12-05_12h52.28.643,faces_experiment,,2025.1.1,140.86907764709878,2025-12-05 12h52.31.346670 +0100,
faces/066_y_m_h_b.jpg,happiness,3,3,0,1,[0.048100799991516396],[0.04810339998221025],0,,,0,,,0,,,0,,,0,,,0,3,3,19,7.979183699993882,,7.968080499995267,7.979183699993882,7.979183699993882,7.979183699993882,7.979183699993882,7.979183699993882,7.979183699993882,7.979183699993882,,8.027648999996018,1,[0.048100799991516396],[0.04810339998221025],anger,0,0,,,0,,,0,,,0,,,0,,,pilot,001,2025-12-05_12h52.28.643,faces_experiment,,2025.1.1,140.86907764709878,2025-12-05 12h52.31.346670 +0100,
faces/116_m_m_d_a.jpg,disgust,4,4,0,1,[0.06305279998923652],[0.06305579998297617],0,,,0,,,0,,,0,,,0,,,0,4,4,38,8.111646500008646,,8.101379800005816,8.111646500008646,8.111646500008646,8.111646500008646,8.111646500008646,8.111646500008646,8.111646500008646,8.111646500008646,,8.175107099988963,1,[0.06305279998923652],[0.06305579998297617],anger,0,0,,,0,,,0,,,0,,,0,,,pilot,001,2025-12-05_12h52.28.643,faces_experiment,,2025.1.1,140.86907764709878,2025-12-05 12h52.31.346670 +0100,
faces/079_o_f_d_b.jpg,disgust,5,5,0,1,[0.055274800019105896],[0.05527760001132265],0,,,0,,,0,,,0,,,0,,,0,5,5,27,8.26416339998832,,8.254195299989078,8.26416339998832,8.26416339998832,8.26416339998832,8.26416339998832,8.26416339998832,8.26416339998832,8.26416339998832,,8.319831100001466,1,[0.055274800019105896],[0.05527760001132265],anger,0,0,,,0,,,0,,,0,,,0,,,pilot,001,2025-12-05_12h52.28.643,faces_experiment,,2025.1.1,140.86907764709878,2025-12-05 12h52.31.346670 +0100,
faces/079_o_f_s_b.jpg,sadness,6,6,0,1,[0.06820440001320094],[0.06820730000617914],0,,,0,,,0,,,0,,,0,,,0,6,6,35,8.410232900001574,,8.400255299988203,8.410232900001574,8.410232900001574,8.410232900001574,8.410232900001574,8.410232900001574,8.410232900001574,8.410232900001574,,8.47882339998614,1,[0.06820440001320094],[0.06820730000617914],anger,0,0,,,0,,,0,,,0,,,0,,,pilot,001,2025-12-05_12h52.28.643,faces_experiment,,2025.1.1,140.86907764709878,2025-12-05 12h52.31.346670 +0100,
faces/079_o_f_n_b.jpg,neutrality,7,7,0,1,[0.04876730000250973],[0.04876999999396503],0,,,0,,,0,,,0,,,0,,,0,7,7,33,8.569500599987805,,8.558299700001953,8.569500599987805,8.569500599987805,8.569500599987805,8.569500599987805,8.569500599987805,8.569500599987805,8.569500599987805,,8.618630199984182,1,[0.04876730000250973],[0.04876999999396503],anger,0,0,,,0,,,0,,,0,,,0,,,pilot,001,2025-12-05_12h52.28.643,faces_experiment,,2025.1.1,140.86907764709878,2025-12-05 12h52.31.346670 +0100,
faces/004_o_m_n_b.jpg,neutrality,8,8,0,1,[0.06898859998909757],[0.06899119997979142],0,,,0,,,0,,,0,,,0,,,0,8,8,9,8.715337300003739,,8.706353999994462,8.715337300003739,8.715337300003739,8.715337300003739,8.715337300003739,8.715337300003739,8.715337300003739,8.715337300003739,,8.784692099987296,1,[0.06898859998909757],[0.06899119997979142],anger,0,0,,,0,,,0,,,0,,,0,,,pilot,001,2025-12-05_12h52.28.643,faces_experiment,,2025.1.1,140.86907764709878,2025-12-05 12h52.31.346670 +0100,
faces/116_m_m_h_a.jpg,happiness,9,9,0,1,[0.1166979999979958],[0.11670059998868965],0,,,0,,,0,,,0,,,0,,,0,9,9,42,8.8686105000088,,8.859718499996234,8.8686105000088,8.8686105000088,8.8686105000088,8.8686105000088,8.8686105000088,8.8686105000088,8.8686105000088,,8.985701300000073,1,[0.1166979999979958],[0.11670059998868965],anger,0,0,,,0,,,0,,,0,,,0,,,pilot,001,2025-12-05_12h52.28.643,faces_experiment,,2025.1.1,140.86907764709878,2025-12-05 12h52.31.346670 +0100,
