image_file,correct_emotion,thisN,thisTrialN,thisRepN,btn_anger.numClicks,btn_anger.timesOn,btn_anger.timesOff,btn_disgust.numClicks,btn_disgust.timesOn,btn_disgust.timesOff,btn_fear.numClicks,btn_fear.timesOn,btn_fear.timesOff,btn_happiness.numClicks,btn_happiness.timesOn,btn_happiness.timesOff,btn_neutrality.numClicks,btn_neutrality.timesOn,btn_neutrality.timesOff,btn_sadness.numClicks,btn_sadness.timesOn,btn_sadness.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,introduction_text.started,btn_start.started,introduction.stopped,btn_start.numClicks,btn_start.timesOn,btn_start.timesOff,trial.started,imageStim.started,btn_anger.started,btn_disgust.started,btn_fear.started,btn_happiness.started,btn_neutrality.started,btn_sadness.started,imageStim.stopped,trial.stopped,trials.btn_anger.numClicks,trials.btn_anger.timesOn,trials.btn_anger.timesOff,clickedEmotion,correct,trials.btn_disgust.numClicks,trials.btn_disgust.timesOn,trials.btn_disgust.timesOff,trials.btn_fear.numClicks,trials.btn_fear.timesOn,trials.btn_fear.timesOff,trials.btn_happiness.numClicks,trials.btn_happiness.timesOn,trials.btn_happiness.timesOff,trials.btn_neutrality.numClicks,trials.btn_neutrality.timesOn,trials.btn_neutrality.timesOff,trials.btn_sadness.numClicks,trials.btn_sadness.timesOn,trials.btn_sadness.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014865700009977445,0.03145589999621734,0.03145589999621734,0.8788309000083245,1,[0.8472131000016816],[0.8472169000015128],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856610,001,2025-12-05_16h01.36.450,faces_experiment,,2025.1.1,133.17512130413792,2025-12-05 16h01.39.825640 +0100,
faces/079_o_f_s_b.jpg,sadness,0,0,0,1,[1.5086806000035722],[1.5086837999988347],0,,,0,,,0,,,0,,,0,,,0,0,0,35,1.0083248000009917,,,,,,,,,0.981302100000903,1.0083248000009917,1.0083248000009917,1.0083248000009917,1.0083248000009917,1.0083248000009917,1.0083248000009917,1.0083248000009917,1.262956699996721,2.5174852999916766,1,[1.5086806000035722],[1.5086837999988347],anger,0,0,,,0,,,0,,,0,,,0,,,856610,001,2025-12-05_16h01.36.450,faces_experiment,,2025.1.1,133.17512130413792,2025-12-05 16h01.39.825640 +0100,
faces/168_m_f_h_b.jpg,happiness,1,1,0,1,[0.08084179999423213],[0.08084499998949468],0,,,0,,,0,,,0,,,0,,,0,1,1,67,2.606864900008077,,,,,,,,,2.5926223999995273,2.606864900008077,2.606864900008077,2.606864900008077,2.606864900008077,2.606864900008077,2.606864900008077,2.606864900008077,,2.6881490999949165,1,[0.08084179999423213],[0.08084499998949468],anger,0,0,,,0,,,0,,,0,,,0,,,856610,001,2025-12-05_16h01.36.450,faces_experiment,,2025.1.1,133.17512130413792,2025-12-05 16h01.39.825640 +0100,
faces/168_m_f_s_a.jpg,sadness,2,2,0,1,[0.13709460000973195],[0.13709959998959675],0,,,0,,,0,,,0,,,0,,,0,2,2,70,2.776970600010827,,,,,,,,,2.7632650999876205,2.776970600010827,2.776970600010827,2.776970600010827,2.776970600010827,2.776970600010827,2.776970600010827,2.776970600010827,,2.914522900013253,1,[0.13709460000973195],[0.13709959998959675],anger,0,0,,,0,,,0,,,0,,,0,,,856610,001,2025-12-05_16h01.36.450,faces_experiment,,2025.1.1,133.17512130413792,2025-12-05 16h01.39.825640 +0100,
faces/116_m_m_s_a.jpg,sadness,3,3,0,1,[0.06216839997796342],[0.062171800003852695],0,,,0,,,0,,,0,,,0,,,0,3,3,46,3.013932800007751,,,,,,,,,2.988347500009695,3.013932800007751,3.013932800007751,3.013932800007751,3.013932800007751,3.013932800007751,3.013932800007751,3.013932800007751,,3.076537199987797,1,[0.06216839997796342],[0.062171800003852695],anger,0,0,,,0,,,0,,,0,,,0,,,856610,001,2025-12-05_16h01.36.450,faces_experiment,,2025.1.1,133.17512130413792,2025-12-05 16h01.39.825640 +0100,
faces/066_y_m_s_a.jpg,sadness,4,4,0,1,[0.22244109999155626],[0.22244439998758025],0,,,0,,,0,,,0,,,0,,,0,4,4,22,3.1683043999946676,,,,,,,,,3.1522242999926675,3.1683043999946676,3.1683043999946676,3.1683043999946676,3.1683043999946676,3.1683043999946676,3.1683043999946676,3.1683043999946676,,3.3912256000039633,1,[0.22244109999155626],[0.22244439998758025],anger,0,0,,,0,,,0,,,0,,,0,,,856610,001,2025-12-05_16h01.36.450,faces_experiment,,2025.1.1,133.17512130413792,2025-12-05 16h01.39.825640 +0100,
faces/168_m_f_a_b.jpg,anger,5,5,0,1,[0.10163209997699596],[0.10163540000212379],0,,,0,,,0,,,0,,,0,,,0,5,5,61,3.47979340000893,,,,,,,,,3.465597100002924,3.47979340000893,3.47979340000893,3.47979340000893,3.47979340000893,3.47979340000893,3.47979340000893,3.47979340000893,,3.5818438999995124,1,[0.10163209997699596],[0.10163540000212379],anger,1,0,,,0,,,0,,,0,,,0,,,856610,001,2025-12-05_16h01.36.450,faces_experiment,,2025.1.1,133.17512130413792,2025-12-05 16h01.39.825640 +0100,
faces/004_o_m_a_a.jpg,anger,6,6,0,1,[0.050976700003957376],[0.05098010000074282],0,,,0,,,0,,,0,,,0,,,0,6,6,0,3.6701191999891307,,,,,,,,,3.6600608000007924,3.6701191999891307,3.6701191999891307,3.6701191999891307,3.6701191999891307,3.6701191999891307,3.6701191999891307,3.6701191999891307,,3.721531099989079,1,[0.050976700003957376],[0.05098010000074282],anger,1,0,,,0,,,0,,,0,,,0,,,856610,001,2025-12-05_16h01.36.450,faces_experiment,,2025.1.1,133.17512130413792,2025-12-05 16h01.39.825640 +0100,
faces/004_o_m_d_a.jpg,disgust,7,7,0,1,[0.08247990001109429],[0.08248340000864118],0,,,0,,,0,,,0,,,0,,,0,7,7,2,3.8150313000078313,,,,,,,,,3.7953187999955844,3.8150313000078313,3.8150313000078313,3.8150313000078313,3.8150313000078313,3.8150313000078313,3.8150313000078313,3.8150313000078313,,3.8980508999957237,1,[0.08247990001109429],[0.08248340000864118],anger,0,0,,,0,,,0,,,0,,,0,,,856610,001,2025-12-05_16h01.36.450,faces_experiment,,2025.1.1,133.17512130413792,2025-12-05 16h01.39.825640 +0100,
faces/168_m_f_a_a.jpg,anger,8,8,0,1,[0.0007051000138744712],[0.0007082000083755702],0,,,0,,,0,,,0,,,0,,,0,8,8,60,3.995407400012482,,,,,,,,,3.9741221999865957,3.995407400012482,3.995407400012482,3.995407400012482,3.995407400012482,3.995407400012482,3.995407400012482,3.995407400012482,,3.996572100004414,1,[0.0007051000138744712],[0.0007082000083755702],anger,1,0,,,0,,,0,,,0,,,0,,,856610,001,2025-12-05_16h01.36.450,faces_experiment,,2025.1.1,133.17512130413792,2025-12-05 16h01.39.825640 +0100,
